product_name,brand,price,category_code,sub_category,description,mood_code_number,image_name,filter_color,filter_style,filter_space,mood_code,discount_rate,discount_price,is_popular,is_new,is_best
ALTAPPEN 알타펜 조립마루 - 라이트그레이 0.81 m²,Mood Code,20000,BALCONY,조립마루,테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 조립마루는 장시간 햇빛에 노출되어도 빛바램에 대해 영향을 받지 않도록 UV 안정화 작업을 거쳤으므로 오랫동안 처음 모습 그대로 사용할 수 있습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 구성: 야외조립마루 9장(각 30x30cm). ALTAPPEN/알타펜 조립마루만 추가해서 사용할 수 있습니다.,,704.208.99.jpg,그레이,winter,balcony,winter,10,18000,,,
RUNNEN 룬넨 조립마루 - 베이지 0.81 m²,Mood Code,22900,BALCONY,조립마루,"테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 구성: 야외조립마루 9장(각 30x30cm). 조립마루는 콘크리트, 석재, 목재 등 표면이 단단하고 평평한 곳에 적합합니다. 본 제품은 재생이 가능하며 에너지를 재생하는데 사용할 수도 있습니다. 직사광선에 오랫동안 노출될 경우 조립마루가 뜨거워질 수 있습니다.",,604.767.35.jpg,베이지,autumn,balcony,autumn,10,20610,,,
RUNNEN 룬넨 조립마루 - 아카시아나무 0.81 m²,Mood Code,29900,BALCONY,조립마루,"테라스나 발코니를 새롭게 꾸며보세요. 모서리마감재와 조립마루를 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 일 년에 한두 번 광택제를 덧칠해 주면, 조립마루가 닳거나 마모되지 않도록 쉽게 보호할 수 있어요. 조립마루를 사용하면 테라스와 발코니, 실내의 온도를 낮출 수 있어요. 콘크리트 등의 소재와 비교해 나무가 태양열을 반사하고 열전도율을 낮추기 때문이죠. 실외용으로만 사용할 것을 권장합니다.",,405.184.87.jpg,화이트,etc,balcony,etc,10,26910,,,
RUNNEN 룬넨 조립마루 - 다크그레이 0.81 m²,Mood Code,22900,BALCONY,조립마루,"테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 조립마루는 콘크리트, 석재, 목재 등 표면이 단단하고 평평한 곳에 적합합니다. 본 제품은 재생이 가능하며 에너지를 재생하는데 사용할 수도 있습니다. 직사광선에 오랫동안 노출될 경우 조립마루가 뜨거워질 수 있습니다.",,302.381.14.jpg,그레이,winter,balcony,winter,10,20610,,,
RUNNEN 룬넨 조립마루 - 텍스타일 다크그레이 0.81 m²,Mood Code,49900,BALCONY,조립마루,"코너나 기둥에 맞게 잘라낼 수 있습니다. 테라스나 발코니를 새롭게 꾸며보세요. 조립마루는 장시간 햇빛에 노출되어도 빛바램에 대해 영향을 받지 않도록 UV 안정화 작업을 거쳤으므로 오랫동안 처음 모습 그대로 사용할 수 있습니다. 관리가 간편한 이 조립마루는 아래쪽 바닥을 청소하고 싶을 때 쉽게 분리하고, 청소가 끝나면 다시 쉽게 조립할 수 있어요. 조립마루는 관리가 간편할 뿐 아니라 마루판을 끼워 맞추는 방식으로 간단하게 고정할 수 있습니다. 화기로부터 멀리 두세요.",,005.578.00.jpg,그레이,winter,balcony,winter,10,44910,,,
HYLLEN 휠렌 조립마루 - 아카시아나무 45x45 cm,Mood Code,30000,BALCONY,조립마루,밑면이 실리콘이므로 쉽게 움직이지 않아 미끄럼 사고 위험을 줄일 수 있습니다. PVC/비닐 소재의 바닥에는 이염의 우려가 있어 사용을 권장하지 않습니다.,,204.199.35.jpg,화이트,etc,balcony,etc,10,27000,,,
NÄMMARÖ 넴마뢰 수납박스 및 야외파티션 - 실외용/라이트 스테인 브라운 80x68x140 cm,Mood Code,228900,BALCONY,수납박스,"아카시아 나무는 섬유질 밀도가 높아 가구의 내구성을 높여줍니다. NÄMMARÖ 넴마뢰 야외파티션은 정원이나 테라스에서 프라이버시를 보호하는 데 사용하면 좋아요. 야외파티션은 독립형 제품이며 다양한 덩굴 식물의 지지대로 사용하거나 실내외 모두에서 공간을 나누는 칸막이로도 사용할 수 있어요. 의자 쿠션, 원예 도구, 화분을 보관하는 것 외에도 이 수납 상자는 여분의 의자로 사용하거나 물건을 올려놓는 용도로도 사용할 수 있어요.",,694.927.45.jpg,우드,autumn,balcony,autumn,10,206010,,,
JOSTEIN 요스테인 선반유닛 - 실내외겸용/메탈 화이트 81x40x90 cm,Mood Code,88900,BALCONY,선반유닛,"이 오픈 선반유닛을 이용하면 물건을 한눈에 볼 수 있고, 수건과 세제 등을 쉽게 꺼낼 수 있어요. 내구성이 뛰어나며 청소가 간편한 선반유닛으로, 파우더코팅스틸로 만들어져 녹이 슬지 않아요. JOSTEIN 요스테인 시스템은 습기에 강하므로 야외와 습한 장소 모두에서 사용할 수 있습니다. 실내, 실외에서 모두 사용하기 적합합니다. 벽의 재질에 따라 다른 나사를 사용해야 하며, 칼브럭이 필요할 수도 있습니다. 별도구매입니다.",,694.371.41.jpg,화이트,etc,balcony,etc,10,80010,,,
JOSTEIN 요스테인 선반유닛 - 실내외겸용/와이어 화이트 81x40x90 cm,Mood Code,88900,BALCONY,선반유닛,"이 오픈 선반유닛을 이용하면 물건을 한눈에 볼 수 있고, 수건과 세제 등을 쉽게 꺼낼 수 있어요. 내구성이 뛰어나며 청소가 간편한 선반유닛으로, 파우더코팅스틸로 만들어져 녹이 슬지 않아요. JOSTEIN 요스테인 시스템은 습기에 강하므로 야외와 습한 장소 모두에서 사용할 수 있습니다. 실내, 실외에서 모두 사용하기 적합합니다. 벽의 재질에 따라 다른 나사를 사용해야 하며, 칼브럭이 필요할 수도 있습니다. 별도구매입니다.",,594.369.53.jpg,화이트,etc,balcony,etc,10,80010,,,
SUNDSÖ 순쇠 수납장 - 다크블루 실외용/실내 60x35x86 cm,Mood Code,89900,BALCONY,수납장,실내외 어디에서나 사용할 수 있습니다. 수납장에 높이조절식 선반 두 개가 포함되어 있으며 도어가 열리는 방향을 선택할 수 있습니다. 다리받침의 높이를 조절할 수 있어서 고르지 않은 바닥에도 안정적으로 세울 수 있습니다. 표면이 파우더코팅스틸 소재로 되어 있어 내구성이 좋고 관리가 편리합니다. 레스토랑과 같은 공공장소에서 사용하도록 테스트와 승인을 거쳐 튼튼하며 일상에서 다양한 용도로 활용해도 무리가 없어요. 바닥에 세워놓는 수납장입니다. 벽에 설치하지 마세요.,,505.841.89.jpg,블루,summer,balcony,summer,10,80910,,,
