product_name,brand,price,category_code,sub_category,description,mood_code_number,image_name,filter_color,filter_style,filter_space,mood_code,discount_rate,discount_price,is_popular,is_new,is_best
ISJAKT 이샥트 LED상향식플로어스탠드/독서등 - 밝기조절/니켈 도금 180 cm,Mood Code,149000,LIGHTING,플로어스탠드,"전체등과 독서등으로 사용할 수 있는 스탠드로 따로 켜고 끌 수 있습니다. 상향식플로어스탠드는 방 전체를 밝히는 기분 좋은 빛을 퍼트립니다. 독서등의 암과 헤드를 조절하여 원하는 곳에 빛을 비출 수 있습니다. LED 전구가 내장되어 있어서 전구를 교체할 필요가 없습니다. 조명을 줄이면 방 안의 분위기가 달라져요. 내장 LED 조명. 전구의 수명은 약 25,000시간입니다. 스탠드를 매일 3시간씩 켜는 경우 약 20년에 해당됩니다.",,904.597.15.jpg,그레이,spring,,spring,10,134100,False,False,False
FADO 파도 탁상스탠드 - 화이트 25 cm,Mood Code,149000,LIGHTING,탁상스탠드,"부드럽고 아늑한 느낌의 불빛입니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요.",,302.838.99.jpg,화이트,spring,,spring,10,134100,False,False,False
VARMBLIXT 바름블릭스트 LED 탁상스탠드/벽등 - 오렌지 유리/원형 30 cm,Mood Code,79900,LIGHTING,탁상스탠드,집에 부드럽고 아늑한 무드 조명을 선사합니다. 탁상스탠드나 벽부착등으로 사용할 수 있습니다. 이 장식적인 유리 탁상스탠드/벽등은 숙련된 전문가가 입으로 불어서 만든 제품으로 조명마다 다른 개성을 느낄 수 있어요. LED 전구가 내장되어 있어서 전구를 교체할 필요가 없습니다. LED조명은 백열전구보다 수명이 20배나 길고 에너지 소비량은 85%가 적습니다. 내장 LED 조명. 벽 설치에 필요한 나사는 별도 판매입니다.,,306.176.09.jpg,옐로우,spring,,spring,10,71910,False,False,False
TÅGARP 토가르프 상향식플로어스탠드 - 블랙/화이트,Mood Code,19900,LIGHTING,플로어스탠드,풍부한 불빛이 넓게 퍼지며 방 전체를 밝혀줍니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다.,,804.640.53.jpg,화이트,spring,,spring,10,17910,False,False,False
MÖRKRÄDD 뫼르크레드 LED야간센서등 - 화이트,Mood Code,7900,LIGHTING,센서등,"어두워지면 자동으로 켜지고 밝아지면 꺼지기 때문에 매일 플러그를 빼고 꽂을 필요가 없습니다. 조명색:따뜻한 백색(2700K) 실내 사용 전용. 내장 LED 조명. 전구의 수명은 약 25,000시간입니다. 스탠드를 매일 3시간씩 켜는 경우 약 20년에 해당됩니다. 특별한 쓰레기 처리가 필요할 수 있습니다. 자세한 내용은 지역 당국에 문의하세요.",,903.501.26.jpg,화이트,spring,,spring,10,7110,False,False,False
Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 블루 182 cm,Mood Code,149000,LIGHTING,플로어스탠드,조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,,606.085.28.jpg,블루,spring,,spring,10,134100,False,False,False
Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm,Mood Code,149000,LIGHTING,플로어스탠드,조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,,106.085.16.jpg,핑크,spring,,spring,10,134100,False,False,False
Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 옐로 182 cm,Mood Code,149000,LIGHTING,플로어스탠드,조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,,106.085.40.jpg,옐로우,spring,,spring,10,134100,False,False,False
DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm,Mood Code,149000,LIGHTING,탁상스탠드,"숙련된 전문가가 직접 입으로 불어서 만든 제품입니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 조명에 스마트 전구를 사용하면 활동에 맞게 밝기를 조절할 수 있습니다.",,204.049.91.jpg,화이트,spring,,spring,10,134100,False,False,False
TÄLLBYN 텔뷘 플로어스탠드 - 니켈 도금/오팔 화이트 유리 135 cm,Mood Code,149000,LIGHTING,플로어스탠드,"부드러운 느낌의 불빛이 따뜻하고 포근한 분위기를 연출합니다. 이 유리 전등갓은 숙련된 전문가가 입으로 불어서 만든 제품으로 독특한 개성을 느낄 수 있어요. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 풀 스위치 포함. 조명에 스마트 전구를 사용하면 활동에 맞게 밝기를 조절할 수 있습니다.",,104.377.51.jpg,화이트,spring,,spring,10,134100,False,False,False
