scene_code,season,mood_code,space,space_type,original_image_name,tagged_image_name,original_size,tagged_size,bed_code,bed_name,bed_image_name,bed_color,side_table_code,side_table_name,side_table_image_name,light_code,light_name,light_image_name,scent_code,scent_name,scent_image_name,staging_description,spatial_layout,color_palette,lighting_direction,camera_angle,common_constraints,revision_status
SPBE01,spring,soft_fresh,bedroom,도심 아파트 마스터 침실,SPBE01.png,SPBE01_tagged_768x512.png,1536x1024,768x512,MC-BD-019,RAMNEFJÄLL 람네피엘 쿠션형 침대프레임 - 실란다 라이트베이지/루뢰위 150x200 cm,295.601.66.jpg,베이지,MC-LT-066,JÄTTESTA 예테스타 커피테이블 - 화이트/라이트 대나무 80x80 cm,105.387.93.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-006,LUGNARE 룽나레 유리컵향초 - 자스민/핑크 12 시,205.714.85.jpg,베이지 패브릭 침대를 중심으로 세이지·블러시 쿠션과 가벼운 봄 침구를 겹쳐 부드럽고 생기 있게 연출했다.,침대를 베이윈도와 붙박이장 사이에 두고 양쪽 보행 폭을 남겼으며 보조테이블과 조명을 침대 옆에 모았다.,"오트밀, 페일세이지, 블러시핑크, 웜화이트, 라이트오크",베이윈도에서 들어오는 부드러운 봄 오전 햇빛,출입문에서 보는 눈높이 3/4 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBE02,spring,romantic_fresh,bedroom,경사천장 다락 침실,SPBE02.png,SPBE02_tagged_768x512.png,1536x1024,768x512,MC-BD-020,TYSSEDAL 튀세달 침대프레임 - 화이트/뢴세트 180x200 cm,591.986.45.jpg,화이트,MC-LT-013,GRIMSARBO 그림사르보 보조테이블 - 소나무 합판/브라이트레드,306.061.68.jpg,MC-LT-007,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm,106.085.16.jpg,MC-DF-002,FRÖFINK 프뢰핑크 포푸리 방향제 - 핑크색 꽃 핑크 60 g,806.095.84.jpg,화이트 스핀들 헤드 침대에 코랄·리프그린·잔꽃 패턴을 조합해 밝고 생활감 있는 봄 침실로 만들었다.,경사천장 아래 낮은 벽에 침대를 두고 지붕창과 수납장 사이 동선을 비웠으며 레드 테이블과 조명을 한쪽에 배치했다.,"웜화이트, 소프트코랄, 리프그린, 페일우드, 레드",지붕창의 맑은 봄 정오광,침대 발치 코너의 낮은 비대칭 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBE03,spring,clean_fresh,bedroom,창가 수납형 싱글 침실,SPBE03.png,SPBE03_tagged_768x512.png,1536x1024,768x512,MC-BD-013,FÅGELFJÄLLET 포겔피엘레트 침대프레임+수납함2 - 오프화이트 90x200 cm,796.308.93.jpg,베이지,MC-LT-038,FRÖTORP 프뢰토르프 커피테이블 - 화이트 크롬도금/화이트 유리 88 cm,906.220.90.jpg,MC-LT-026,SPETSBOJ 스펫스보이 탁상스탠드 - 밝기조절/그린 22 cm,005.916.20.jpg,MC-DF-009,LOTSFÅGEL 롯스포겔 유리컵향초 - 무화과나뭇잎 그린 20 시,706.084.34.jpg,오프화이트 수납침대의 서랍을 열어 기능을 보여주고 민트·버터옐로·피치 침구로 산뜻한 봄 분위기를 냈다.,좁은 방 한쪽 벽에 침대를 정렬하고 창가와 침대 옆 이동 폭을 확보했으며 작은 테이블은 협탁으로 사용했다.,"오프화이트, 민트, 버터옐로, 페일피치, 내추럴버치",창에서 드리운 봄 오후 잎 그림자,창 가까이에서 내려다보는 사선 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBE04,spring,organic_fresh,bedroom,정원창 내추럴 침실,SPBE04.png,SPBE04_tagged_768x512.png,1536x1024,768x512,MC-BD-016,TARVA 타르바 침대프레임 - 소나무/루뢰위 120x200 cm,191.984.78.jpg,화이트,MC-LT-061,TONSTAD 톤스타드 커피테이블 - 오프화이트 84x82 cm,704.915.61.jpg,MC-LT-021,BLÅSVERK 블로스베르크 탁상스탠드 - 베이지 36 cm,305.209.33.jpg,MC-DF-004,FRÖFINK 프뢰핑크 포푸리 방향제 - 복숭아향 오렌지 60 g,006.095.97.jpg,소나무 슬랫 침대의 구조를 살리고 크림·셀라돈 침구와 소박한 수납 바구니로 자연스러운 봄 침실을 구성했다.,침대를 정원창과 평행하게 두고 발치 여백을 크게 남겼으며 협탁과 조명은 벽 쪽에 compact하게 배치했다.,"소나무, 크림, 셀라돈, 소프트애프리콧, 프레시그린",정원창의 따뜻하고 밝은 봄 늦은 오후광,열린 문을 프레임으로 사용한 넓은 측면 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBE01,summer,cool_clear,bedroom,발코니 연결 아파트 침실,SUBE01.png,SUBE01_tagged_768x512.png,1536x1024,768x512,MC-BD-004,VEVELSTAD 베벨스타드 침대프레임 - 화이트 120x200 cm,805.182.73.jpg,화이트,MC-LT-008,BRUKSVARA 브룩스바라 보조테이블 - 블루 42x30 cm,105.582.29.jpg,MC-LT-006,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 블루 182 cm,606.085.28.jpg,MC-DF-001,HÄRMHÖK 헤름회크 라벤더주머니 - 화이트/라일락 7 g,906.191.39.jpg,"낮은 화이트 메탈 침대에 블루 스트라이프 침구와 아쿠아 러그, 블루 조명을 더해 통풍감 있는 여름 침실로 연출했다.",침대를 발코니 문과 직각으로 두고 출입 동선을 비웠으며 블루 협탁을 침대 옆에 배치했다.,"화이트, 파우더블루, 씨글라스아쿠아, 페일애시, 프레시그린",얇은 커튼을 통과한 시원한 여름 오전광,발코니 쪽에서 방 안을 보는 와이드 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBE02,summer,vivid_cool,bedroom,두 창 코너 침실,SUBE02.png,SUBE02_tagged_768x512.png,1536x1024,768x512,MC-BD-014,NESTTUN 네스툰 침대프레임 - 화이트/루뢰위 120x200 cm,391.580.18.jpg,화이트,MC-LT-009,GLADOM 글라돔 트레이테이블 - 라이트블루 45x53 cm,905.340.03.jpg,MC-LT-014,FORSÅ 포르소 독서등 - 황동색,804.035.21.jpg,MC-DF-023,MORKULLA 모르쿨라 유리컵향초2심 - 귤꽃 브라이트옐로우그린 22 시,406.198.39.jpg,화이트 라운드 메탈 헤드 침대에 아이스블루 퀼트와 민트·라임 포인트를 사용해 선명하고 시원한 여름 공간을 만들었다.,침대를 두 창 사이 벽에 두고 왼쪽 수납장과 오른쪽 협탁 사이 보행 공간을 확보했다.,"화이트, 아이스블루, 코발트, 민트, 라임",두 창의 고른 여름 교차채광,코너에서 내려다보는 약간 높은 대각선 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBE03,summer,natural_cool,bedroom,윈도벤치 가족 침실,SUBE03.png,SUBE03_tagged_768x512.png,1536x1024,768x512,MC-BD-018,VIHALS 비할스 침대프레임 - 화이트 180x200 cm,706.024.46.jpg,화이트,MC-LT-005,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린,706.364.27.jpg,MC-LT-041,TERTIAL 테르티알 독서등 - 라이트블루,005.042.94.jpg,MC-DF-017,LOTSFÅGEL 롯스포겔 미니향초 - 프레쉬리넨 화이트 3.5 시,406.086.90.jpg,"넓은 화이트 저상침대와 그레이블루 리넨, 씨폼 벽과 밝은 러그로 차분한 청량감을 표현했다.",침대를 창 벤치와 떨어뜨려 배치하고 뒤쪽 소형 데스크 및 양쪽 통로를 모두 사용할 수 있게 구성했다.,"쿨화이트, 씨폼, 그레이블루, 라이트버치, 프레시옐로",나뭇잎 반사광이 섞인 그늘진 여름 정오광,러그 가까이에서 침대를 올려보는 낮은 뷰파인더 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBE04,summer,airy_cool,bedroom,맞통풍 타운하우스 침실,SUBE04.png,SUBE04_tagged_768x512.png,1536x1024,768x512,MC-BD-012,GLAMBERGET 글람베리에트 길이조절침대 - 소나무 80-160x200 cm,606.404.58.jpg,화이트,MC-LT-015,OLSERÖD 올세뢰드 보조테이블 - 앤트러싸이트/자작나무 효과 다크옐로 53x50 cm,804.820.52.jpg,MC-LT-024,BLÅSVERK 블로스베르크 탁상스탠드 - 블루 36 cm,205.209.19.jpg,MC-DF-012,DVÄRGHÖK 드베리회크 유리컵향초+뚜껑 - 무화과나뭇잎 블루/라이트옐로 50 시,506.142.85.jpg,소나무 길이조절침대에 화이트·스카이블루 침구와 터쿼이즈 러그를 더해 건조하고 가벼운 여름 분위기를 냈다.,두 작은 창 사이의 벽을 활용해 침대를 놓고 출입문에서 창까지 통풍 경로를 열었으며 벽 수납을 사용했다.,"페일파인, 화이트, 터쿼이즈, 스카이블루, 시트러스그린",열린 창의 밝고 건조한 여름 오후광,열린 문 너머로 보는 긴 측면 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
FABE01,fall,warm_calm,bedroom,우드 마스터 침실,FABE01.png,FABE01_tagged_768x512.png,1536x1024,768x512,MC-BD-010,MALM 말름 높은침대프레임 - 화이트스테인 참나무 무늬목/뢴세트 150x200 cm,891.750.58.jpg,화이트,MC-LT-002,HOLMERUD 홀메루드 보조테이블 - 참나무무늬 80x31 cm,005.414.23.jpg,MC-LT-009,DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm,204.049.91.jpg,MC-DF-020,LOTSFÅGEL 롯스포겔 미니향초 - 샌달우드/파촐리 브라운 3.5 시,906.087.15.jpg,"라이트오크 헤드보드와 올리브 침구, 러스트 쿠션을 황금빛 햇살로 묶어 따뜻한 가을 침실을 만들었다.",침대를 창과 옷장 사이에 두고 보조테이블을 오른쪽 벽의 수납 겸 협탁으로 사용했다.,"라이트오크, 오트밀, 올리브, 러스트, 크림",낮은 가을 오후 직사광과 긴 창 그림자,옷장과 문 사이의 눈높이 3/4 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
FABE02,fall,intimate_calm,bedroom,코너창 컴팩트 침실,FABE02.png,FABE02_tagged_768x512.png,1536x1024,768x512,MC-BD-011,KLEPPSTAD 클렙스타드 침대프레임 - 화이트/비슬레 베이지 150x200 cm,304.926.71.jpg,베이지,MC-LT-019,UGGLERUM 우글레룸 보조테이블 - 브라운 46x40 cm,206.279.82.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-015,KRONSÅNGARE 크론송아레 유리컵향초2심 - 복숭아향/도트 브라운 50 시,706.202.66.jpg,화이트·베이지 쿠션형 침대에 딥틸 침구와 번트오렌지 블랭킷을 더해 작지만 깊이 있는 가을 공간으로 연출했다.,침대를 한쪽 벽에 붙여 창가 독서의자와 서랍장 자리를 만들고 출입문까지의 통로를 비웠다.,"베이지, 머시룸, 딥틸, 번트오렌지, 웜화이트",흐린 가을 낮빛에 더해진 한 줄기 따뜻한 햇빛,창 옆에서 출입문 방향을 보는 낮은 비대칭 앵글,일반 주택 규모; 현실적인 침실 동선; 중심 침대 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
