external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,904.048.03,BED,MALM 말름 오토만침대 - 화이트 150x200 cm,IKEA,"MALM 말름 오토만침대 - 화이트 150x200 cm. 침대 밑에 수납공간이 있어 여분의 이불이나 베개, 계절이 지난 옷 등을 보관할 수 있습니다. 다리미판을 넣어도 되죠. 높은 침대헤드 덕분에 침대에 편안하게 앉을 수 있으며, 등 뒤에 베개 몇 개를 대고 독서나 TV를 시청하기에 편안한 자리를 만들 수 있습니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 베이스 보드가 있어 물건을 바닥에 내려놓지 않아도 되기 때문에 깔끔하고 먼지가 쌓이지 않게 보관할 수 있죠.",599000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/malm-ottoman-bed-white__0749127_pe745496_s5.jpg,output_ikea_bed\images\904.048.03.jpg,https://www.ikea.com/kr/ko/p/malm-ottoman-bed-white-90404803/,검토,
IKEA,204.916.10,BED,BRUDBORSTE 브루드보르스테 매트리스커버 - 그레이 90x200 cm,IKEA,BRUDBORSTE 브루드보르스테 매트리스커버 - 그레이 90x200 cm. 특수하게 직조된 나일론 섬유가 열을 빼앗아서 시원하고 편안하게 잠들 수 있어요. 매트리스 커버 모서리에 고무 밴드가 달려있어 최대 26 cm 두께의 매트리스에 사용할 수 있습니다. 다양한 사이즈 중에서 선택할 수 있습니다.,24900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/brudborste-fitted-sheet-grey__0932913_pe791667_s5.jpg,output_ikea_bed\images\204.916.10.jpg,https://www.ikea.com/kr/ko/p/brudborste-fitted-sheet-grey-20491610/,검토,
IKEA,705.712.42,BED,SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 120x200 cm,IKEA,SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 120x200 cm. 갈빗살을 포함한 전체 침대 프레임이 1개의 납작한 패키지로 포장되어 있어 간편하게 집에 가져갈 수 있습니다. 조립 과정이 쉬워서 빠르게 조립할 수 있어요. 아마 생각보다 훨씬 쉬울 거예요! 이 고정 커버는 원착 폴리에스테르 소재의 VISSLE 비슬레 패브릭으로 제작됩니다. 매끄러운 직조와 멋진 투톤 효과가 근사한 내구성 높은 소재입니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.,139000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/slattum-upholstered-bed-frame-vissle-dark-grey__1259334_pe926648_s5.jpg,output_ikea_bed\images\705.712.42.jpg,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-vissle-dark-grey-70571242/,검토,
IKEA,805.182.73,BED,VEVELSTAD 베벨스타드 침대프레임 - 화이트 120x200 cm,IKEA,"VEVELSTAD 베벨스타드 침대프레임 - 화이트 120x200 cm. 깔끔하고도 간결한 디자인은 다른 침실 가구와 잘 어울리며, 어떤 모던한 침실에서도 완벽한 조화를 이룹니다. 파우더 코팅 처리한 화이트 금속과 겉으로 드러난 나사가 한층 모던한 침대프레임을 완성합니다. 파우더 코팅 금속으로 만들어 청소하고 관리하기가 편리합니다. 침대 아래에 수납상자가 들어갈 공간이 충분해서 공간을 최대한 활용하려는 경우에 완벽한 제품이에요. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/vevelstad-bed-frame-white__1035356_pe840532_s5.jpg,output_ikea_bed\images\805.182.73.jpg,https://www.ikea.com/kr/ko/p/vevelstad-bed-frame-white-80518273/,검토,
IKEA,805.712.46,BED,SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 150x200 cm,IKEA,SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 150x200 cm. 갈빗살을 포함한 전체 침대 프레임이 1개의 납작한 패키지로 포장되어 있어 간편하게 집에 가져갈 수 있습니다. 조립 과정이 쉬워서 빠르게 조립할 수 있어요. 아마 생각보다 훨씬 쉬울 거예요! 이 고정 커버는 원착 폴리에스테르 소재의 VISSLE 비슬레 패브릭으로 제작됩니다. 매끄러운 직조와 멋진 투톤 효과가 근사한 내구성 높은 소재입니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.,159000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/slattum-upholstered-bed-frame-vissle-dark-grey__1259335_pe926650_s5.jpg,output_ikea_bed\images\805.712.46.jpg,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-vissle-dark-grey-80571246/,검토,
IKEA,503.498.56,BED,NORDLI 노르들리 수납침대프레임 - 화이트 120x200 cm,IKEA,"NORDLI 노르들리 수납침대프레임 - 화이트 120x200 cm. 소형 디자인은 좁은 공간이나 낮은 천장 아래에 이상적이므로 이용 가능한 공간을 최대한 활용할 수 있습니다. 침대 아래에 커다란 서랍 3개가 있어 충분한 수납공간이 깔끔하게 숨겨져 있습니다. 이불, 베개, 침구 보관에 적합합니다. 완충식 서랍은 부드럽고 느리며 조용하게 작동합니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 폭 120cm, 길이 202cm(최대) 매트리스에 사용할 수 있습니다.",399000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/nordli-bed-frame-with-storage-white__1151036_pe884739_s5.jpg,output_ikea_bed\images\503.498.56.jpg,https://www.ikea.com/kr/ko/p/nordli-bed-frame-with-storage-white-50349856/,검토,
IKEA,703.493.27,BED,HEMNES 헴네스 데이베드프레임+서랍3 - 화이트 80x200 cm,IKEA,"HEMNES 헴네스 데이베드프레임+서랍3 - 화이트 80x200 cm. 친구가 하루 자고 갈 때 쓰기에 편리한 데이베드 제품입니다. 침대 베이스를 당기면 단숨에 더블베드로 변신하죠. 부드럽고 푹신한 베개 몇 개를 등받이로 놓으면 데이베드가 편안한 소파로 변신합니다. 여분의 이불, 베개, 패브릭 등을 보관하면서 사용할 때는 편하게 꺼낼 수 있는 넉넉한 크기의 서랍입니다. 프레임이 높아서 아늑하고, 래커 처리가 되어 있어 관리도 쉽습니다. HEMNES 시리즈의 다른 가구들과 함께 사용할 수 있습니다. 매트리스와 침구는 별도구매입니다.",399000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/hemnes-day-bed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg,output_ikea_bed\images\703.493.27.jpg,https://www.ikea.com/kr/ko/p/hemnes-day-bed-frame-with-3-drawers-white-70349327/,검토,
IKEA,605.063.94,BED,VEVELSTAD 베벨스타드 침대프레임 - 화이트 150x200 cm,IKEA,"VEVELSTAD 베벨스타드 침대프레임 - 화이트 150x200 cm. 깔끔하고도 간결한 디자인은 다른 침실 가구와 잘 어울리며, 어떤 모던한 침실에서도 완벽한 조화를 이룹니다. 파우더 코팅 처리한 화이트 금속과 겉으로 드러난 나사가 한층 모던한 침대프레임을 완성합니다. 파우더 코팅 금속으로 만들어 청소하고 관리하기가 편리합니다. 침대 아래에 수납상자가 들어갈 공간이 충분해서 공간을 최대한 활용하려는 경우에 완벽한 제품이에요. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/vevelstad-bed-frame-white__1035358_pe840534_s5.jpg,output_ikea_bed\images\605.063.94.jpg,https://www.ikea.com/kr/ko/p/vevelstad-bed-frame-white-60506394/,검토,
IKEA,291.998.54,BED,MALM 말름 높은침대프레임+수납상자2 - 화이트/뢴세트 120x200 cm,IKEA,"MALM 말름 높은침대프레임+수납상자2 - 화이트/뢴세트 120x200 cm. 침대 아래에 커다란 서랍 2개가 있어 충분한 수납공간이 깔끔하게 숨겨져 있습니다. 이불, 베개, 침구 보관에 적합합니다. 수납상자는 바닥에 달린 바퀴 덕분에 쉽게 당겨서 꺼낼 수 있습니다. MALM/말름 침대수납상자는 MALM/말름 침대프레임과 완벽한 조화를 이룹니다. 침대 밑의 공간에 딱 맞고 측면과는 수평을 이루며 맞닿습니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 매트리스와 침구는 별도구매입니다.",434000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/malm-bed-frame-high-w-2-storage-boxes-white-loenset__1154401_pe886067_s5.jpg,output_ikea_bed\images\291.998.54.jpg,https://www.ikea.com/kr/ko/p/malm-bed-frame-high-w-2-storage-boxes-white-loenset-s29199854/,검토,
IKEA,891.750.58,BED,MALM 말름 높은침대프레임 - 화이트스테인 참나무 무늬목/뢴세트 150x200 cm,IKEA,"MALM 말름 높은침대프레임 - 화이트스테인 참나무 무늬목/뢴세트 150x200 cm. 나무 무늬목은 독특하고 다양한 나뭇결, 색상 및 텍스처의 원목 소재와 같은 외관, 느낌 및 아름다움을 선사합니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 높은 침대헤드 덕분에 침대에 편안하게 앉을 수 있으며, 등 뒤에 베개 몇 개를 대고 독서나 TV를 시청하기에 편안한 자리를 만들 수 있습니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",484000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/malm-bed-frame-high-white-stained-oak-veneer-loenset__0637598_pe698416_s5.jpg,output_ikea_bed\images\891.750.58.jpg,https://www.ikea.com/kr/ko/p/malm-bed-frame-high-white-stained-oak-veneer-loenset-s89175058/,검토,
IKEA,304.926.71,BED,KLEPPSTAD 클렙스타드 침대프레임 - 화이트/비슬레 베이지 150x200 cm,IKEA,"KLEPPSTAD 클렙스타드 침대프레임 - 화이트/비슬레 베이지 150x200 cm. 깔끔하고도 간결한 디자인은 다른 침실 가구와 잘 어울리며, 어떤 모던한 침실에서도 완벽한 조화를 이룹니다. 파우더 코팅 처리한 화이트 금속과 겉으로 드러난 나사가 한층 모던한 침대프레임을 완성합니다. 침대헤드 커버를 벗겨서 세탁기로 빨 수 있어요. 다시 씌우기도 편리합니다. 파우더 코팅 금속으로 만들어 청소하고 관리하기가 편리합니다. 침대헤드가 침대프레임에 안정적으로 장착되어 아늑한 분위기를 한껏 자아냅니다. 매트리스와 침구는 별도구매입니다.",179000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/kleppstad-bed-frame-white-vissle-beige__1035340_pe840527_s5.jpg,output_ikea_bed\images\304.926.71.jpg,https://www.ikea.com/kr/ko/p/kleppstad-bed-frame-white-vissle-beige-30492671/,검토,
IKEA,606.404.58,BED,GLAMBERGET 글람베리에트 길이조절침대 - 소나무 80-160x200 cm,IKEA,"GLAMBERGET 글람베리에트 길이조절침대 - 소나무 80-160x200 cm. GLAMBERGET 글람베리에트 길이조절침대는 좁은 공간이나 천고가 낮은 공간에 이상적이므로 내 생활 공간을 최대한 활용할 수 있습니다. 침대프레임을 확장할 수 있는 덕분에 가로 80~160cm, 세로 200cm인 매트리스를 놓을 수 있어요. 마음이 바뀌어 더 큰 침대를 사용하고 싶다면 매트리스를 교체하고 침대프레임은 그대로 사용하면 됩니다. 천연소재인 소나무 원목으로 만들어 시간이 흐를수록 근사해지고 가구마다 독특한 개성을 선사합니다.",229000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/glamberget-extendable-bed-pine__1513150_pe1011069_s5.jpg,output_ikea_bed\images\606.404.58.jpg,https://www.ikea.com/kr/ko/p/glamberget-extendable-bed-pine-60640458/,검토,
IKEA,796.308.93,BED,FÅGELFJÄLLET 포겔피엘레트 침대프레임+수납함2 - 오프화이트 90x200 cm,IKEA,"FÅGELFJÄLLET 포겔피엘레트 침대프레임+수납함2 - 오프화이트 90x200 cm. FÅGELFJÄLLET 포겔피엘레트 시리즈에서 다양한 수납 요구 사항을 해결해 줄 가구를 찾아보세요. 우아하고 클래식한 디자인 덕분에 실용적이고 깔끔하며 기분 좋은 분위기로 만들어줘요. 침대헤드와 풋보드는 인레이 패널에서 영감을 받은 장식적인 디자인으로 전통적인 분위기를 더해주며, 침대에서 베개를 받치고 앉아 책을 읽을 때도 편안하게 몸을 지탱해 줍니다. 커다란 서랍 2칸에 바퀴가 달려있어서 침대 밑에 다양한 물건을 수납할 수 있습니다.",249000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/fagelfjaellet-bed-frame-with-2-storage-boxes-off-white__1514711_pe1012953_s5.jpg,output_ikea_bed\images\796.308.93.jpg,https://www.ikea.com/kr/ko/p/fagelfjaellet-bed-frame-with-2-storage-boxes-off-white-s79630893/,검토,
IKEA,391.580.18,BED,NESTTUN 네스툰 침대프레임 - 화이트/루뢰위 120x200 cm,IKEA,"NESTTUN 네스툰 침대프레임 - 화이트/루뢰위 120x200 cm. 스틸프레임에 파우더코팅을 한 제품으로 튼튼하고 내구성이 뛰어납니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다. 침대 밑에 수납공간이 많아 여분의 이불과 베개 등을 넣은 수납상자를 보관할 수 있습니다. 곡선형 갈빗살이 있는 LURÖY 루뢰위 갈빗살 침대베이스는 수면자의 체중을 분산시키고 몸을 지탱해 주며, 통풍이 잘되는 개방형 구조여서 매트리스를 쾌적하게 유지해 줍니다. 매트리스와 침구는 별도구매입니다.",184000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/nesttun-bed-frame-white-luroey__1291395_pe934887_s5.jpg,output_ikea_bed\images\391.580.18.jpg,https://www.ikea.com/kr/ko/p/nesttun-bed-frame-white-luroey-s39158018/,검토,
IKEA,992.919.67,BED,SLÄKT 슬렉트 침대프레임+수납/갈빗살 - 화이트 90x200 cm,IKEA,"SLÄKT 슬렉트 침대프레임+수납/갈빗살 - 화이트 90x200 cm. 서랍은 열기 쉽고 공간도 넉넉해서 장난감, 의류, 기타 용품을 모두 수납할 수 있습니다. 자신의 물건을 방안 여기 저기에 늘어놓는 십대 청소년에게 적합하죠. 침대프레임의 모서리 부분은 둥글게 처리되어 있고 눈에 드러나는 부품이 많지 않으며 손잡이 부분도 돌출되지 않아 안전하고 깔끔한 느낌을 줍니다. 선호하는 취향이나 스타일에 맞게 다양한 침대 텍스타일, 베개, 소품 등을 더하면 유행을 타지 않는 나만의 침실을 꾸밀 수 있습니다. 침대갈빗살이 포함되어 있습니다.",384000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/slaekt-bed-frame-w-storage-slatted-bedbase-white__0648346_pe704865_s5.jpg,output_ikea_bed\images\992.919.67.jpg,https://www.ikea.com/kr/ko/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s99291967/,검토,
