product_name,brand,price,category_code,sub_category,description,mood_code_number,image_name,filter_color,filter_style,filter_space,mood_code,discount_rate,discount_price,is_popular,is_new,is_best
MALM 말름 오토만침대 - 화이트 150x200 cm,Mood Code,599000,BED,오토만침대,"침대 밑에 수납공간이 있어 여분의 이불이나 베개, 계절이 지난 옷 등을 보관할 수 있습니다. 다리미판을 넣어도 되죠. 높은 침대헤드 덕분에 침대에 편안하게 앉을 수 있으며, 등 뒤에 베개 몇 개를 대고 독서나 TV를 시청하기에 편안한 자리를 만들 수 있습니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 베이스 보드가 있어 물건을 바닥에 내려놓지 않아도 되기 때문에 깔끔하고 먼지가 쌓이지 않게 보관할 수 있죠.",,904.048.03.jpg,화이트,etc,bedroom,etc,10,539100,,,
BRUDBORSTE 브루드보르스테 매트리스커버 - 그레이 90x200 cm,Mood Code,24900,BED,매트리스커버,특수하게 직조된 나일론 섬유가 열을 빼앗아서 시원하고 편안하게 잠들 수 있어요. 매트리스 커버 모서리에 고무 밴드가 달려있어 최대 26 cm 두께의 매트리스에 사용할 수 있습니다. 다양한 사이즈 중에서 선택할 수 있습니다.,,204.916.10.jpg,그레이,winter,bedroom,winter,10,22410,,,
SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 120x200 cm,Mood Code,139000,BED,침대프레임,갈빗살을 포함한 전체 침대 프레임이 1개의 납작한 패키지로 포장되어 있어 간편하게 집에 가져갈 수 있습니다. 조립 과정이 쉬워서 빠르게 조립할 수 있어요. 아마 생각보다 훨씬 쉬울 거예요! 이 고정 커버는 원착 폴리에스테르 소재의 VISSLE 비슬레 패브릭으로 제작됩니다. 매끄러운 직조와 멋진 투톤 효과가 근사한 내구성 높은 소재입니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.,,705.712.42.jpg,그레이,winter,bedroom,winter,10,125100,,,
VEVELSTAD 베벨스타드 침대프레임 - 화이트 120x200 cm,Mood Code,139000,BED,침대프레임,"깔끔하고도 간결한 디자인은 다른 침실 가구와 잘 어울리며, 어떤 모던한 침실에서도 완벽한 조화를 이룹니다. 파우더 코팅 처리한 화이트 금속과 겉으로 드러난 나사가 한층 모던한 침대프레임을 완성합니다. 파우더 코팅 금속으로 만들어 청소하고 관리하기가 편리합니다. 침대 아래에 수납상자가 들어갈 공간이 충분해서 공간을 최대한 활용하려는 경우에 완벽한 제품이에요. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",,805.182.73.jpg,화이트,etc,bedroom,etc,10,125100,,,
SLATTUM 슬라툼 쿠션형 침대프레임 - 비슬레 다크그레이 150x200 cm,Mood Code,159000,BED,침대프레임,갈빗살을 포함한 전체 침대 프레임이 1개의 납작한 패키지로 포장되어 있어 간편하게 집에 가져갈 수 있습니다. 조립 과정이 쉬워서 빠르게 조립할 수 있어요. 아마 생각보다 훨씬 쉬울 거예요! 이 고정 커버는 원착 폴리에스테르 소재의 VISSLE 비슬레 패브릭으로 제작됩니다. 매끄러운 직조와 멋진 투톤 효과가 근사한 내구성 높은 소재입니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.,,805.712.46.jpg,그레이,winter,bedroom,winter,10,143100,,,
NORDLI 노르들리 수납침대프레임 - 화이트 120x200 cm,Mood Code,399000,BED,수납침대,"소형 디자인은 좁은 공간이나 낮은 천장 아래에 이상적이므로 이용 가능한 공간을 최대한 활용할 수 있습니다. 침대 아래에 커다란 서랍 3개가 있어 충분한 수납공간이 깔끔하게 숨겨져 있습니다. 이불, 베개, 침구 보관에 적합합니다. 완충식 서랍은 부드럽고 느리며 조용하게 작동합니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 폭 120cm, 길이 202cm(최대) 매트리스에 사용할 수 있습니다.",,503.498.56.jpg,화이트,etc,bedroom,etc,10,359100,,,
HEMNES 헴네스 데이베드프레임+서랍3 - 화이트 80x200 cm,Mood Code,399000,BED,데이베드,"친구가 하루 자고 갈 때 쓰기에 편리한 데이베드 제품입니다. 침대 베이스를 당기면 단숨에 더블베드로 변신하죠. 부드럽고 푹신한 베개 몇 개를 등받이로 놓으면 데이베드가 편안한 소파로 변신합니다. 여분의 이불, 베개, 패브릭 등을 보관하면서 사용할 때는 편하게 꺼낼 수 있는 넉넉한 크기의 서랍입니다. 프레임이 높아서 아늑하고, 래커 처리가 되어 있어 관리도 쉽습니다. HEMNES 시리즈의 다른 가구들과 함께 사용할 수 있습니다. 매트리스와 침구는 별도구매입니다.",,703.493.27.jpg,화이트,etc,bedroom,etc,10,359100,,,
VEVELSTAD 베벨스타드 침대프레임 - 화이트 150x200 cm,Mood Code,399000,BED,침대프레임,"깔끔하고도 간결한 디자인은 다른 침실 가구와 잘 어울리며, 어떤 모던한 침실에서도 완벽한 조화를 이룹니다. 파우더 코팅 처리한 화이트 금속과 겉으로 드러난 나사가 한층 모던한 침대프레임을 완성합니다. 파우더 코팅 금속으로 만들어 청소하고 관리하기가 편리합니다. 침대 아래에 수납상자가 들어갈 공간이 충분해서 공간을 최대한 활용하려는 경우에 완벽한 제품이에요. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",,605.063.94.jpg,화이트,etc,bedroom,etc,10,359100,,,
MALM 말름 높은침대프레임+수납상자2 - 화이트/뢴세트 120x200 cm,Mood Code,434000,BED,침대프레임,"침대 아래에 커다란 서랍 2개가 있어 충분한 수납공간이 깔끔하게 숨겨져 있습니다. 이불, 베개, 침구 보관에 적합합니다. 수납상자는 바닥에 달린 바퀴 덕분에 쉽게 당겨서 꺼낼 수 있습니다. MALM/말름 침대수납상자는 MALM/말름 침대프레임과 완벽한 조화를 이룹니다. 침대 밑의 공간에 딱 맞고 측면과는 수평을 이루며 맞닿습니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 매트리스와 침구는 별도구매입니다.",,291.998.54.jpg,화이트,etc,bedroom,etc,10,390600,,,
MALM 말름 높은침대프레임 - 화이트스테인 참나무 무늬목/뢴세트 150x200 cm,Mood Code,484000,BED,침대프레임,"나무 무늬목은 독특하고 다양한 나뭇결, 색상 및 텍스처의 원목 소재와 같은 외관, 느낌 및 아름다움을 선사합니다. 다양하게 활용할 수 있는 이 침대 프레임은 어떤 텍스타일 및 침실 가구와도 잘 어울립니다. 높은 침대헤드 덕분에 침대에 편안하게 앉을 수 있으며, 등 뒤에 베개 몇 개를 대고 독서나 TV를 시청하기에 편안한 자리를 만들 수 있습니다. 진공 청소기로 침대 프레임 아래를 청소하면 공간을 깨끗하고 먼지 없이 유지할 수 있습니다.",,891.750.58.jpg,화이트,etc,bedroom,etc,10,435600,,,
