name,category,color,image_url
프레시 핑크 인테리어,fresh,핑크,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=600&q=80&color=pink
그린톤 식물 플랜테리어,fresh,그린,https://images.unsplash.com/photo-1545231027-637d2f4410f8?auto=format&fit=crop&w=600&q=80&color=green
화사한 핑크 톤 침실,fresh,핑크,https://images.unsplash.com/photo-1616594039964-ae9021a400a0?auto=format&fit=crop&w=600&q=80&color=pink
싱그러운 그린 가든 룸,fresh,그린,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?auto=format&fit=crop&w=600&q=80&color=green
생동감 넘치는 옐로 룸,vibrant,노랑,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?auto=format&fit=crop&w=600&q=80&color=yellow
블루 포인트 컬러 거실,vibrant,파랑,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=600&q=80&color=blue
비비드 옐로 & 블루 룸,vibrant,노랑/파랑,https://images.unsplash.com/photo-1507089947368-19c1da9775ae?auto=format&fit=crop&w=600&q=80&color=yellow
활기찬 컬러풀 인테리어,vibrant,노랑/파랑,https://images.unsplash.com/photo-1538688525198-9b88f6f53126?auto=format&fit=crop&w=600&q=80&color=blue
따뜻한 브라운톤 원목 거실,cozy,브라운,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=600&q=80&color=orange
아늑한 베이지 우드 침실,cozy,베이지,https://images.unsplash.com/photo-1540518614846-7ede433c4ef0?auto=format&fit=crop&w=600&q=80&color=orange
포근한 브라운 서재,cozy,브라운,https://images.unsplash.com/photo-1524758631624-e2822e304c36?auto=format&fit=crop&w=600&q=80&color=brown
초콜릿빛 감성 인테리어,cozy,브라운,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf?auto=format&fit=crop&w=600&q=80&color=brown
고요한 그레이 모던 거실,calm,그레이,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?auto=format&fit=crop&w=600&q=80&color=grey
시크한 블랙 & 그레이 톤,calm,블랙/그레이,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=600&q=80&color=black
차분한 콘크리트 그레이 룸,calm,그레이,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&w=600&q=80&color=grey
미니멀 블랙톤 인테리어,calm,블랙,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=600&q=80&color=black
