external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,803.658.02,DINING_TABLE,MÖRBYLÅNGA 뫼르뷜롱아 테이블 - 참나무무늬목 브라운스테인 220x100 cm,IKEA,MÖRBYLÅNGA 뫼르뷜롱아 테이블 - 참나무무늬목 브라운스테인 220x100 cm. 널빤지의 느낌을 강조한 디자인으로 진짜 나무의 느낌이 살아있습니다. 상판이 더욱 돋보이도록 가장자리를 디자인했습니다. 참나무는 단단하고 내구성이 우수하며 나뭇결이 잘 살아있는 목재입니다. 시간이 지날수록 색이 짙어져 고급스러운 골든브라운 색을 띠게 됩니다. 원목의 나뭇결과 색상이 각각 다르기 때문에 테이블마다 독특한 매력을 느낄 수 있습니다. 6인용. 실내에서만 사용하세요.,999000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/moerbylanga-table-oak-veneer-brown-stained__0737110_pe740888_s5.jpg,output_dining_table\images\803.658.02.jpg,https://www.ikea.com/kr/ko/p/moerbylanga-table-oak-veneer-brown-stained-80365802/,검토,
IKEA,695.785.17,DINING_TABLE,VIHALS 비할스 테이블 - 화이트/화이트 125x74 cm,IKEA,"VIHALS 비할스 테이블 - 화이트/화이트 125x74 cm. 현대적인 분위기의 깔끔하고 절제된 디자인이 다양한 인테리어 설정과 원활하게 어울려요. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 고강도 파우더 코팅 스틸 하부프레임은 안정적이며, 녹과 부식에 강하여 시간이 흘러도 내구성이 우수합니다. 고강도 스틸을 사용함으로써 일반적인 스틸보다 적은 소재를 사용하여 자원 효율성을 극대화하고 뛰어난 내구성과 강도를 제공합니다. 4인용. 실내에서만 사용하세요.",79900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-table-white-white__1388805_pe964975_s5.jpg,output_dining_table\images\695.785.17.jpg,https://www.ikea.com/kr/ko/p/vihals-table-white-white-s69578517/,검토,
IKEA,095.785.15,DINING_TABLE,VIHALS 비할스 테이블 - 그린/화이트 125x74 cm,IKEA,"VIHALS 비할스 테이블 - 그린/화이트 125x74 cm. 현대적인 분위기의 깔끔하고 절제된 디자인이 다양한 인테리어 설정과 원활하게 어울려요. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 고강도 파우더 코팅 스틸 하부프레임은 안정적이며, 녹과 부식에 강하여 시간이 흘러도 내구성이 우수합니다. 고강도 스틸을 사용함으로써 일반적인 스틸보다 적은 소재를 사용하여 자원 효율성을 극대화하고 뛰어난 내구성과 강도를 제공합니다. 4인용. 실내에서만 사용하세요.",79900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-table-green-white__1388810_pe964977_s5.jpg,output_dining_table\images\095.785.15.jpg,https://www.ikea.com/kr/ko/p/vihals-table-green-white-s09578515/,검토,
IKEA,395.785.14,DINING_TABLE,VIHALS 비할스 테이블 - 그린/그린 125x74 cm,IKEA,"VIHALS 비할스 테이블 - 그린/그린 125x74 cm. 현대적인 분위기의 깔끔하고 절제된 디자인이 다양한 인테리어 설정과 원활하게 어울려요. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 고강도 파우더 코팅 스틸 하부프레임은 안정적이며, 녹과 부식에 강하여 시간이 흘러도 내구성이 우수합니다. 고강도 스틸을 사용함으로써 일반적인 스틸보다 적은 소재를 사용하여 자원 효율성을 극대화하고 뛰어난 내구성과 강도를 제공합니다. 4인용. 실내에서만 사용하세요.",79900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-table-green-green__1388804_pe964974_s5.jpg,output_dining_table\images\395.785.14.jpg,https://www.ikea.com/kr/ko/p/vihals-table-green-green-s39578514/,검토,
IKEA,895.785.16,DINING_TABLE,VIHALS 비할스 테이블 - 화이트/그린 125x74 cm,IKEA,"VIHALS 비할스 테이블 - 화이트/그린 125x74 cm. 현대적인 분위기의 깔끔하고 절제된 디자인이 다양한 인테리어 설정과 원활하게 어울려요. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 고강도 파우더 코팅 스틸 하부프레임은 안정적이며, 녹과 부식에 강하여 시간이 흘러도 내구성이 우수합니다. 고강도 스틸을 사용함으로써 일반적인 스틸보다 적은 소재를 사용하여 자원 효율성을 극대화하고 뛰어난 내구성과 강도를 제공합니다. 4인용. 실내에서만 사용하세요.",79900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-table-white-green__1388809_pe964979_s5.jpg,output_dining_table\images\895.785.16.jpg,https://www.ikea.com/kr/ko/p/vihals-table-white-green-s89578516/,검토,
IKEA,294.168.57,DINING_TABLE,DALSHULT 달스훌트 테이블 - 화이트/자작나무 185x90 cm,IKEA,DALSHULT 달스훌트 테이블 - 화이트/자작나무 185x90 cm.,299000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/dalshult-table-white-birch__0993483_pe820568_s5.jpg,output_dining_table\images\294.168.57.jpg,https://www.ikea.com/kr/ko/p/dalshult-table-white-birch-s29416857/,검토,
IKEA,105.927.37,DINING_TABLE,VIHALS 비할스 확장형테이블 - 화이트 120/180x74 cm,IKEA,VIHALS 비할스 확장형테이블 - 화이트 120/180x74 cm. 특정 요구에 맞게 테이블의 크기를 손쉽게 조절할 수 있으므로 유연하게 활용하기 좋아요. 한 사람의 힘으로 빠르고 간편하게 테이블을 확장할 수 있습니다. 테이블 다리는 테이블이 확장되더라도 항상 테이블의 모서리에 자리하고 있어 의자를 놓을 공간도 충분합니다. 보조상판을 테이블 밑에 보관해두고 언제든지 꺼내 쓸 수 있습니다. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 실내에서만 사용하세요. 4-6인용.,149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-extendable-table-white__1370472_pe958745_s5.jpg,output_dining_table\images\105.927.37.jpg,https://www.ikea.com/kr/ko/p/vihals-extendable-table-white-10592737/,검토,
IKEA,396.065.88,DINING_TABLE,STOCKHOLM 2025 스톡홀름 2025 테이블 - 참나무무늬목/참나무무늬목 230x90 cm,IKEA,STOCKHOLM 2025 스톡홀름 2025 테이블 - 참나무무늬목/참나무무늬목 230x90 cm. 고품질 참나무 무늬목에 투명 아크릴 래커 마감이 적용되어 내구성이 우수하고 깔끔하며 자연스러운 느낌이 돋보여요. 기능과 디자인이 만난 제품이에요. 연결 부품으로 번거로움 없이 손쉽게 조립해 보세요. 다리별로 고정부품이 한 개씩이라서 간단하고 효율적으로 설치할 수 있습니다. STOCKHOLM 스톡홀름 식탁은 공간과 취향에 따라 원형과 타원형 디자인 중에서 선택할 수 있어요. 실내에서만 사용하세요. 6-8인용.,799000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/stockholm-2025-table-oak-veneer-oak-veneer__1373060_pe959872_s5.jpg,output_dining_table\images\396.065.88.jpg,https://www.ikea.com/kr/ko/p/stockholm-2025-table-oak-veneer-oak-veneer-s39606588/,검토,
IKEA,295.785.19,DINING_TABLE,VIHALS 비할스 테이블 - 화이트/화이트 74x74 cm,IKEA,"VIHALS 비할스 테이블 - 화이트/화이트 74x74 cm. 작지만 깔끔한 디자인으로 좁은 공간에서도 쉽고 편하게 사용할 수 있습니다. 현대적인 분위기의 깔끔하고 절제된 디자인이 다양한 인테리어 설정과 원활하게 어울려요. 멜라민 포일 테이블 상판은 기능을 갖췄을 뿐 아니라 젖은 천으로 쉽게 청소할 수 있어요. 고강도 파우더 코팅 스틸 하부프레임은 안정적이며, 녹과 부식에 강하여 시간이 흘러도 내구성이 우수합니다. 2인용. 실내에서만 사용하세요.",65000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/vihals-table-white-white__1388807_pe964980_s5.jpg,output_dining_table\images\295.785.19.jpg,https://www.ikea.com/kr/ko/p/vihals-table-white-white-s29578519/,검토,
IKEA,094.203.94,DINING_TABLE,SANDSBERG 산스베리 테이블 - 블랙 110x67 cm,IKEA,SANDSBERG 산스베리 테이블 - 블랙 110x67 cm. 슬림한 디자인이어서 실내 공간을 많이 차지하지 않고 인테리어와 조화롭게 어우러집니다. 내구성이 튼튼해 매일 사용해도 끄떡없어요. 견고한 메탈 테이블 프레임과 내구성이 좋고 매끄러운 멜라민 테이블 상판으로 이루어졌어요. 실내에서만 사용하세요. 4인용. 지역사회의 규칙에 따라 재활용 또는 에너지 회수를 위해 분리 배출할 수 있습니다.,66900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/sandsberg-table-black__1074348_pe856162_s5.jpg,output_dining_table\images\094.203.94.jpg,https://www.ikea.com/kr/ko/p/sandsberg-table-black-s09420394/,검토,
