external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,605.578.02,LIVING_ROOM_TABLE,BOLLSIDAN 볼시단 노트북스탠드 - 화이트 68x36 cm,IKEA,BOLLSIDAN 볼시단 노트북스탠드 - 화이트 68x36 cm. 집 전체에서 다양한 활동에 사용할 수 있는 유연한 만능 솔루션이에요. 가스 스프링 장치를 사용해 높이를 조절할 수 있어요. 전선이 연결되어 있지 않아 필요한 공간 어디로든 쉽게 테이블을 옮길 수 있죠. 앉아서 또는 서서 사용할 수 있습니다. 장시간 같은 자세에서 오는 피로감을 덜어주며 집중력도 높여줍니다. 받침대가 얇고 드러나지 않는 바퀴가 있어 소파나 침대 밑으로 쉽게 굴려 넣을 수 있어요. 멜라민 표면은 내구성이 좋고 얼룩이 지지 않아서 관리가 편합니다.,99900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/bollsidan-laptop-stand-white__1163783_pe890330_s5.jpg,output_ikea_living_table\images\605.578.02.jpg,https://www.ikea.com/kr/ko/p/bollsidan-laptop-stand-white-60557802/,검토,
IKEA,005.414.23,LIVING_ROOM_TABLE,HOLMERUD 홀메루드 보조테이블 - 참나무무늬 80x31 cm,IKEA,"HOLMERUD 홀메루드 보조테이블 - 참나무무늬 80x31 cm. 깔끔하고 세련된 건축 형식 덕분에 방이 개성 있게 연출되고 커피테이블의 존재감이 돋보입니다. 소파의 팔걸이 길이에 꼭 맞춰 세울 수 있도록 제작되었지만, 벽에 기대어 설치할 수도 있습니다. 보조테이블을 추가해 소파 모서리 주변으로 배치하거나 소파 뒤로 낮은 수납공간을 멋지게 구성해 보세요. 이 테이블의 디자인 덕분에 오픈 수납공간에 물건을 정리하여 쉽게 꺼내어 쓸 수 있고 진열하기에도 좋습니다. 테이블상판 최대 하중: 15kg.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/holmerud-side-table-oak-effect__1193662_pe901564_s5.jpg,output_ikea_living_table\images\005.414.23.jpg,https://www.ikea.com/kr/ko/p/holmerud-side-table-oak-effect-00541423/,검토,
IKEA,505.407.08,LIVING_ROOM_TABLE,HOLMERUD 홀메루드 보조테이블 - 다크브라운 80x31 cm,IKEA,"HOLMERUD 홀메루드 보조테이블 - 다크브라운 80x31 cm. 깔끔하고 세련된 건축 형식 덕분에 방이 개성 있게 연출되고 커피테이블의 존재감이 돋보입니다. 소파의 팔걸이 길이에 꼭 맞춰 세울 수 있도록 제작되었지만, 벽에 기대어 설치할 수도 있습니다. 보조테이블을 추가해 소파 모서리 주변으로 배치하거나 소파 뒤로 낮은 수납공간을 멋지게 구성해 보세요. 이 테이블의 디자인 덕분에 오픈 수납공간에 물건을 정리하여 쉽게 꺼내어 쓸 수 있고 진열하기에도 좋습니다. 테이블상판 최대 하중: 15kg.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/holmerud-side-table-dark-brown__1193661_pe901561_s5.jpg,output_ikea_living_table\images\505.407.08.jpg,https://www.ikea.com/kr/ko/p/holmerud-side-table-dark-brown-50540708/,검토,
IKEA,104.764.79,LIVING_ROOM_TABLE,BJÖRKÅSEN 비에르코센 노트북스탠드 - 베이지,IKEA,BJÖRKÅSEN 비에르코센 노트북스탠드 - 베이지. 집 전체에서 다양한 활동에 사용할 수 있는 유연한 만능 솔루션이에요. BJÖRKÅSEN 비에르코센 노트북스탠드를 사용하면 상단을 쉽게 기울이고 높이를 조절해 편안한 자세로 작업할 수 있어요. 접기가 쉬워 좁은 공간에도 보관할 수 있어요. 상단을 기울이기만 하면 됩니다. 함께 구성된 컵홀더를 하부프레임에 끼워 항상 커피나 음료를 손닿는 가까이에 두세요. 테이블 상판의 최대 하중: 10kg.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/bjoerkasen-laptop-stand-beige__0955982_pe804391_s5.jpg,output_ikea_living_table\images\104.764.79.jpg,https://www.ikea.com/kr/ko/p/bjoerkasen-laptop-stand-beige-10476479/,검토,
IKEA,706.364.27,LIVING_ROOM_TABLE,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린,IKEA,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린. 집 전체에서 다양한 활동에 사용할 수 있는 유연한 만능 솔루션이에요. BJÖRKÅSEN 비에르코센 노트북스탠드를 사용하면 상단을 쉽게 기울이고 높이를 조절해 편안한 자세로 작업할 수 있어요. 접기가 쉬워 좁은 공간에도 보관할 수 있어요. 상단을 기울이기만 하면 됩니다. 함께 구성된 컵홀더를 하부프레임에 끼워 항상 커피나 음료를 손닿는 가까이에 두세요. 테이블 상판의 최대 하중: 10kg.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/bjoerkasen-laptop-stand-yellow-green__1487984_pe1003263_s5.jpg,output_ikea_living_table\images\706.364.27.jpg,https://www.ikea.com/kr/ko/p/bjoerkasen-laptop-stand-yellow-green-70636427/,검토,
IKEA,805.560.62,LIVING_ROOM_TABLE,BRUKSVARA 브룩스바라 보조테이블 - 화이트 42x30 cm,IKEA,BRUKSVARA 브룩스바라 보조테이블 - 화이트 42x30 cm. 가벼워서 쉽게 옮길 수 있습니다. 집 안 곳곳에서 다양한 활동을 위해 사용할 수 있는 유연하고 활용도 높은 솔루션이에요. 플라스틱 다리받침이 있어서 바닥에 흠집이 생기지 않습니다. 테이블 상판의 최대 하중: 10kg.,0,KRW,,,https://www.ikea.com/kr/ko/images/products/bruksvara-side-table-white__1183541_pe897492_s5.jpg,output_ikea_living_table\images\805.560.62.jpg,https://www.ikea.com/kr/ko/p/bruksvara-side-table-white-80556062/,검토,
IKEA,905.582.30,LIVING_ROOM_TABLE,BRUKSVARA 브룩스바라 보조테이블 - 앤트러싸이트 42x30 cm,IKEA,BRUKSVARA 브룩스바라 보조테이블 - 앤트러싸이트 42x30 cm. 가벼워서 쉽게 옮길 수 있습니다. 집 안 곳곳에서 다양한 활동을 위해 사용할 수 있는 유연하고 활용도 높은 솔루션이에요. 플라스틱 다리받침이 있어서 바닥에 흠집이 생기지 않습니다. 테이블 상판의 최대 하중: 10kg.,0,KRW,,,https://www.ikea.com/kr/ko/images/products/bruksvara-side-table-anthracite__1172836_pe893588_s5.jpg,output_ikea_living_table\images\905.582.30.jpg,https://www.ikea.com/kr/ko/p/bruksvara-side-table-anthracite-90558230/,검토,
IKEA,105.582.29,LIVING_ROOM_TABLE,BRUKSVARA 브룩스바라 보조테이블 - 블루 42x30 cm,IKEA,BRUKSVARA 브룩스바라 보조테이블 - 블루 42x30 cm. 가벼워서 쉽게 옮길 수 있습니다. 집 안 곳곳에서 다양한 활동을 위해 사용할 수 있는 유연하고 활용도 높은 솔루션이에요. 플라스틱 다리받침이 있어서 바닥에 흠집이 생기지 않습니다. 테이블 상판의 최대 하중: 10kg.,24900,KRW,https://schema.org/InStoreOnly,,https://www.ikea.com/kr/ko/images/products/bruksvara-side-table-blue__1182430_pe897210_s5.jpg,output_ikea_living_table\images\105.582.29.jpg,https://www.ikea.com/kr/ko/p/bruksvara-side-table-blue-10558229/,검토,
IKEA,905.340.03,LIVING_ROOM_TABLE,GLADOM 글라돔 트레이테이블 - 라이트블루 45x53 cm,IKEA,"GLADOM 글라돔 트레이테이블 - 라이트블루 45x53 cm. 트레이를 빼서 쟁반으로 사용할 수도 있습니다. 테두리가 있어서 옮기기 쉽고 유리잔이나 그릇이 밖으로 떨어지지 않습니다. 구멍에 맞출 필요 없이 트레이를 테이블 프레임 위에 곧바로 올려놓을 수 있어서 사용 후 트레이를 되돌려 놓기가 쉬워요. 내구성이 뛰어난 파우더코팅 강철 표면은 청소가 쉽고, 은은하고 매력적인 반사가 특징인 매끄러운 새틴 마감으로 완성했습니다. 테이블을 쉽게 들어 필요한 곳으로 옮길 수 있습니다. 실내 사용 전용. 테이블 상판의 최대 하중: 10kg.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/gladom-tray-table-light-blue__1500030_pe1006860_s5.jpg,output_ikea_living_table\images\905.340.03.jpg,https://www.ikea.com/kr/ko/p/gladom-tray-table-light-blue-90534003/,검토,
IKEA,503.378.20,LIVING_ROOM_TABLE,GLADOM 글라돔 트레이테이블 - 화이트 45x53 cm,IKEA,"GLADOM 글라돔 트레이테이블 - 화이트 45x53 cm. 트레이를 빼서 쟁반으로 사용할 수도 있습니다. 테두리가 있어서 옮기기 쉽고 유리잔이나 그릇이 밖으로 떨어지지 않습니다. 구멍에 맞출 필요 없이 트레이를 테이블 프레임 위에 곧바로 올려놓을 수 있어서 사용 후 트레이를 되돌려 놓기가 쉬워요. 내구성이 뛰어난 파우더코팅 강철 표면은 청소가 쉽고, 은은하고 매력적인 반사가 특징인 매끄러운 새틴 마감으로 완성했습니다. 트레이, 다리, 하단 십자가 형태의 균형 잡힌 비율이 다리의 두께와 트레이 사이에 멋스러운 대비를 만들어냅니다.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/gladom-tray-table-white__0470732_pe612912_s5.jpg,output_ikea_living_table\images\503.378.20.jpg,https://www.ikea.com/kr/ko/p/gladom-tray-table-white-50337820/,검토,
