season_ko,season_en,mood_code,color_order,color_name_ko,color_name_en,hex,rgb_r,rgb_g,rgb_b,css_variable,usage_role,usage_description,recommended_text_color
봄,Spring,soft_fresh,1,프레시 아이보리,Fresh Ivory,#F7F2E8,247,242,232,--season-spring-1,background,페이지 기본 배경과 넓은 여백,#252525
봄,Spring,soft_fresh,2,세이지 리프,Sage Leaf,#A8B8A0,168,184,160,--season-spring-2,secondary,카드 배경과 보조 UI,#252525
봄,Spring,soft_fresh,3,블러시 페탈,Blush Petal,#E7B7B2,231,183,178,--season-spring-3,accent,배지와 감성 포인트,#252525
봄,Spring,soft_fresh,4,버터 블룸,Butter Bloom,#E8D58A,232,213,138,--season-spring-4,highlight,버튼 호버와 강조 요소,#252525
봄,Spring,soft_fresh,5,라이트 오크,Light Oak,#C9A77B,201,167,123,--season-spring-5,anchor,테두리와 따뜻한 균형색,#252525
여름,Summer,cool_clear,1,쿨 화이트,Cool White,#F4F8F7,244,248,247,--season-summer-1,background,깨끗한 페이지 기본 배경,#252525
여름,Summer,cool_clear,2,씨글라스,Sea Glass,#A8D8D0,168,216,208,--season-summer-2,secondary,카드와 필터 선택 배경,#252525
여름,Summer,cool_clear,3,스카이 블루,Sky Blue,#82B7D9,130,183,217,--season-summer-3,accent,링크와 정보성 포인트,#252525
여름,Summer,cool_clear,4,딥 아쿠아,Deep Aqua,#2F7F8F,47,127,143,--season-summer-4,primary,주요 버튼과 활성 상태,#FFFFFF
여름,Summer,cool_clear,5,시트러스 옐로,Citrus Yellow,#E7D35C,231,211,92,--season-summer-5,highlight,시즌 배지와 작은 강조,#252525
가을,Fall,warm_calm,1,오트밀,Oatmeal,#D8C3A5,216,195,165,--season-fall-1,background,따뜻한 페이지 배경,#252525
가을,Fall,warm_calm,2,오커,Ochre,#C8922F,200,146,47,--season-fall-2,highlight,가격·배지·시즌 포인트,#252525
가을,Fall,warm_calm,3,러스트,Rust,#B65A3A,182,90,58,--season-fall-3,primary,주요 버튼과 선택 상태,#FFFFFF
가을,Fall,warm_calm,4,올리브,Olive,#7A7B47,122,123,71,--season-fall-4,secondary,필터와 자연스러운 보조색,#FFFFFF
가을,Fall,warm_calm,5,월넛,Walnut,#6B4A32,107,74,50,--season-fall-5,anchor,텍스트·테두리·내비게이션,#FFFFFF
겨울,Winter,bright_chic,1,스노 화이트,Snow White,#F3F4F2,243,244,242,--season-winter-1,background,밝은 페이지 기본 배경,#252525
겨울,Winter,bright_chic,2,아이스 블루,Ice Blue,#B7CFDA,183,207,218,--season-winter-2,secondary,카드와 서브 섹션 배경,#252525
겨울,Winter,bright_chic,3,도브 그레이,Dove Gray,#A9ADB2,169,173,178,--season-winter-3,neutral,비활성 UI와 구분선,#252525
겨울,Winter,bright_chic,4,플럼,Plum,#6F5267,111,82,103,--season-winter-4,accent,시크한 감성 포인트,#FFFFFF
겨울,Winter,bright_chic,5,소프트 차콜,Soft Charcoal,#34383D,52,56,61,--season-winter-5,primary,주요 버튼·헤더·본문 텍스트,#FFFFFF
