product_name,brand,price,category_code,sub_category,description,mood_code_number,image_name,filter_color,filter_style,filter_space,mood_code,discount_rate,discount_price,is_popular,is_new,is_best
HÄRMHÖK 헤름회크 라벤더주머니 - 화이트/라일락 7 g,Mood Code,1000,DIFFUSER,주머니,"라벤더 봉지를 옷장, 서랍장, 리넨 수납장에 넣어 상쾌한 향을 더해보세요. 옷걸이에 걸 수도 있고 서랍에 넣어둘 수도 있어요. 각 봉지에는 잘게 자른 잎보다 향이 더 진하고 오래가는, 통째로 말린 라벤더 꽃봉오리가 담겨 있습니다. 봉지를 한 주에 한 번 정도 살짝 눌러주면, 더 많은 향을 꾸준히 즐길 수 있습니다. 패턴 디자인: Matilda Lindstam Nilsson",,906.191.39.jpg,화이트,etc,,etc,10,900,,,
FRÖFINK 프뢰핑크 포푸리 방향제 - 핑크색 꽃 핑크 60 g,Mood Code,1500,DIFFUSER,포푸리,편안한 향이 풍성한 꽃다발과 고요한 풍경을 떠올리게 합니다. 모든 것이 따뜻하고 여유롭게 느껴지는 시간입니다. 우아하고 편안한 핑크 플라워 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 말린 식물 부분으로 만들고 향기를 더했어요. 이보다 더 쉽게 집에 기분 좋은 은은한 향을 선사하는 방법이 또 있을까요? 그릇이나 꽃병에 담아서 아름답게 장식할 수 있고 방 안 가득 은은한 향기를 전해줍니다. 물이 빠질 위험이 있습니다.,,806.095.84.jpg,핑크,spring,,spring,10,1350,,,
FRÖFINK 프뢰핑크 포푸리 방향제 - 바닐라 베이지 60 g,Mood Code,1500,DIFFUSER,포푸리,"따뜻하고 포근한 향이 갓 구운 쿠키, 바닐라 아이스크림, 소파에 기대어 보내던 조용한 시간을 떠올리게 합니다. 모든 것이 안전하고 편안하게 느껴지는 순간입니다. 친숙한 바닐라 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 말린 식물 부분으로 만들고 향기를 더했어요. 이보다 더 쉽게 집에 기분 좋은 은은한 향을 선사하는 방법이 또 있을까요? 그릇이나 꽃병에 담아서 아름답게 장식할 수 있고 방 안 가득 은은한 향기를 전해줍니다.",,706.096.07.jpg,베이지,autumn,,autumn,10,1350,,,
FRÖFINK 프뢰핑크 포푸리 방향제 - 복숭아향 오렌지 60 g,Mood Code,1500,DIFFUSER,포푸리,과일 향이 모험 가득한 여름날의 기억을 떠올리게 합니다. 모든 것이 편안하면서도 설렘으로 가득한 시간입니다. 열대 과일처럼 상큼하고 생기 있는 복숭아 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 말린 식물 부분으로 만들고 향기를 더했어요. 이보다 더 쉽게 집에 기분 좋은 은은한 향을 선사하는 방법이 또 있을까요? 그릇이나 꽃병에 담아서 아름답게 장식할 수 있고 방 안 가득 은은한 향기를 전해줍니다. 물이 빠질 위험이 있습니다.,,006.095.97.jpg,핑크,spring,,spring,10,1350,,,
FRÖFINK 프뢰핑크 포푸리 방향제 - 귤꽃 옐로 60 g,Mood Code,1500,DIFFUSER,포푸리,가볍고 여름다운 향이 햇살 가득한 날과 즐거운 순간들을 떠올리게 합니다. 모든 것이 신선하고 자연스럽게 느껴지는 시간입니다. 산뜻하고 상큼한 시트러스 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 말린 식물 부분으로 만들고 향기를 더했어요. 이보다 더 쉽게 집에 기분 좋은 은은한 향을 선사하는 방법이 또 있을까요? 그릇이나 꽃병에 담아서 아름답게 장식할 수 있고 방 안 가득 은은한 향기를 전해줍니다. 물이 빠질 위험이 있습니다.,,206.096.00.jpg,핑크,spring,,spring,10,1350,,,
LUGNARE 룽나레 유리컵향초 - 자스민/핑크 12 시,Mood Code,1000,DIFFUSER,유리컵향초,"자스민, 배, 진저, 은방울꽃의 향. 전원생활에서 영감을 얻어 집에 로맨틱한 분위기를 연출하고 싶을 때 좋아요. 양초를 다 태우면 유리 용기를 미니양초 홀더 혹은 작은 소지품 보관통으로 활용해 보세요. 이 제품의 왁스 중 50% 이상이 식물성 왁스입니다. 타고 있는 양초를 방치하지 마세요. 불이 붙을 수 있는 물건 가까이에 두지 마세요. 아이와 반려동물 가까이에 두지 마세요. 양초 간격을 최소 5cm로 유지하세요. 외풍이 부는 곳에서 태우지 마세요.",,205.714.85.jpg,핑크,spring,,spring,10,900,,,
LOTSFÅGEL 롯스포겔 유리컵향초 - 바닐라 페일베이지 40 시,Mood Code,4900,DIFFUSER,유리컵향초,"따뜻하고 포근한 향이 갓 구운 쿠키, 바닐라 아이스크림, 소파에 기대어 보내던 조용한 시간을 떠올리게 합니다. 모든 것이 안전하고 편안하게 느껴지는 순간입니다. 친숙한 바닐라 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 향초 하나로 집 안에 작은 포인트를 더해보세요. 인테리어와 어울리는 색을 고르면, 작은 변화만으로도 분위기를 쉽게 새롭게 바꿀 수 있습니다. 연소 시간이 길어 양초를 더 오래 즐길 수 있어요.",,306.083.70.jpg,베이지,autumn,,autumn,10,4410,,,
LOTSFÅGEL 롯스포겔 미니향초 - 무화과나뭇잎 그린 3.5 시,Mood Code,3900,DIFFUSER,미니향초,"풋풋한 향이 산뜻한 풀과 초록 잎을 떠올리게 합니다. 모든 것이 편안하면서도 새로운 에너지로 가득한 순간입니다. 자연스럽고 편안한 무화과 잎 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 미니양초는 작고 부드러운 불꽃과 은은한 빛으로 타올라, 어느 공간에서든 아늑한 분위기를 만들어줘요. 미니양초는 다양한 양초홀더에 잘 맞아, 식탁이나 복도 한켠, 따뜻한 분위기를 더하고 싶은 어디서든 바로 켤 수 있어요. 열원 근처에 두지 마세요.",,206.086.86.jpg,그린,spring,,spring,10,3510,,,
LOTSFÅGEL 롯스포겔 유리컵향초 - 무화과나뭇잎 그린 20 시,Mood Code,2900,DIFFUSER,유리컵향초,"풋풋한 향이 산뜻한 풀과 초록 잎을 떠올리게 합니다. 모든 것이 편안하면서도 새로운 에너지로 가득한 순간입니다. 자연스럽고 편안한 무화과 잎 향이 집 안을 포근하게 감싸주어 정말 나만의 공간 같은 느낌이 들게 해줘요. 향초 하나로 집 안에 작은 포인트를 더해보세요. 인테리어와 어울리는 색을 고르면, 작은 변화만으로도 분위기를 쉽게 새롭게 바꿀 수 있습니다. 다양한 크기의 양초를 함께 배치하면 더 생동감 있게 연출하고 향을 더욱 풍부하게 즐길 수 있어요.",,706.084.34.jpg,그린,spring,,spring,10,2610,,,
LÖVSKOGSLUND 뢰브스콕슬룬드 유리컵향초 - 사과향/라이트그린 12 시,Mood Code,1000,DIFFUSER,유리컵향초,"초록빛 사과와 애플 블라썸, 약간의 재스민이 더해진 상쾌한 향입니다. 집을 밝고 상큼한 분위기로 연출하고 싶을 때 초록빛 사과 맛에서 영감을 얻은 향초를 선택해 보세요. 양초를 다 태우면 유리 용기를 미니양초 홀더 혹은 작은 소지품 보관통으로 활용해 보세요. 이 제품의 왁스 중 50% 이상이 식물성 왁스입니다. 타고 있는 양초를 방치하지 마세요. 불이 붙을 수 있는 물건 가까이에 두지 마세요. 아이와 반려동물 가까이에 두지 마세요.",,705.941.54.jpg,그린,spring,,spring,10,900,,,
