scene_code,season,mood_code,space,space_type,original_image_name,tagged_image_name,original_size,tagged_size,balcony_code,balcony_name,balcony_image_name,balcony_color,side_table_code,side_table_name,side_table_image_name,light_code,light_name,light_image_name,scent_code,scent_name,scent_image_name,staging_description,spatial_layout,color_palette,lighting_direction,camera_angle,common_constraints,revision_status
SPBA01,spring,organic_fresh,balcony,도심 아파트 플랜터 발코니,SPBA01.png,SPBA01_tagged_768x512.png,1536x1024,768x512,MC-BC-033,STJÄRNANIS 셰르나니스 화분 - 실외용 아카시아나무 75x27 cm,706.120.30.jpg,그린,MC-LT-066,JÄTTESTA 예테스타 커피테이블 - 화이트/라이트 대나무 80x80 cm,105.387.93.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-006,LUGNARE 룽나레 유리컵향초 - 자스민/핑크 12 시,205.714.85.jpg,아카시아 화분을 중심으로 잎이 부드러운 봄 식물과 밝은 패브릭을 더해 작은 정원처럼 연출했다.,난간 쪽에 화분을 모으고 실내 출입구부터 끝까지 보행 통로를 비웠다.,"아카시아, 세이지, 블러시, 크림",부드러운 봄 오전광,실내에서 바깥을 보는 눈높이 3/4 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBA02,spring,colorful_fresh,balcony,벽돌벽 소형 발코니,SPBA02.png,SPBA02_tagged_768x512.png,1536x1024,768x512,MC-BC-034,SOLVINDEN 솔빈덴 LED태양광그라운드스틱 - 실외용 다크그린,306.191.99.jpg,그린,MC-LT-013,GRIMSARBO 그림사르보 보조테이블 - 소나무 합판/브라이트레드,306.061.68.jpg,MC-LT-007,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm,106.085.16.jpg,MC-DF-002,FRÖFINK 프뢰핑크 포푸리 방향제 - 핑크색 꽃 핑크 60 g,806.095.84.jpg,다크그린 태양광 스틱을 식재 사이에 두고 코랄 쿠션과 꽃 화분으로 생기 있는 봄 장면을 만들었다.,벽돌벽을 배경으로 휴식 좌석과 식재 구역을 나누고 중앙 동선을 확보했다.,"다크그린, 코랄, 웜브릭, 아이보리",맑은 봄 정오광,난간 모서리의 비대칭 대각선 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBA03,spring,mint_fresh,balcony,유리창 미니 다이닝 발코니,SPBA03.png,SPBA03_tagged_768x512.png,1536x1024,768x512,MC-BC-039,FEJAN 페얀 야외테이블 - 라이트그린 50x44 cm,305.320.02.jpg,그린,MC-LT-038,FRÖTORP 프뢰토르프 커피테이블 - 화이트 크롬도금/화이트 유리 88 cm,906.220.90.jpg,MC-LT-026,SPETSBOJ 스펫스보이 탁상스탠드 - 밝기조절/그린 22 cm,005.916.20.jpg,MC-DF-009,LOTSFÅGEL 롯스포겔 유리컵향초 - 무화과나뭇잎 그린 20 시,706.084.34.jpg,페일그린 야외 테이블에 가벼운 아침 식기와 민트 직물을 놓아 산뜻한 봄 식사 공간으로 구성했다.,창가에 테이블을 붙이고 양쪽 좌석과 출입문 사이 최소 통로를 남겼다.,"페일그린, 민트, 버터옐로, 화이트",확산된 봄 오후광,테이블 높이의 정돈된 측면 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SPBA04,spring,soft_garden,balcony,창가 독서 발코니,SPBA04.png,SPBA04_tagged_768x512.png,1536x1024,768x512,MC-BC-043,SOLVINDEN 솔빈덴 LED 장식용 탁상스탠드 - 태양열 스트라이프/실외용 라이트그린,906.193.80.jpg,그린,MC-LT-061,TONSTAD 톤스타드 커피테이블 - 오프화이트 84x82 cm,704.915.61.jpg,MC-LT-021,BLÅSVERK 블로스베르크 탁상스탠드 - 베이지 36 cm,305.209.33.jpg,MC-DF-004,FRÖFINK 프뢰핑크 포푸리 방향제 - 복숭아향 오렌지 60 g,006.095.97.jpg,라이트그린 태양광 랜턴을 독서의자 곁에 두고 연한 꽃과 내추럴 직물로 조용한 봄 휴식을 표현했다.,"좌석은 벽 쪽에, 랜턴과 작은 테이블은 손이 닿는 위치에 두어 통로를 비웠다.","라이트그린, 오트밀, 소프트피치, 내추럴우드",따뜻한 봄 늦은 오후광,문틀을 프레임으로 사용한 넓은 측면 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBA01,summer,cool_utility,balcony,생활형 유틸리티 발코니,SUBA01.png,SUBA01_tagged_768x512.png,1536x1024,768x512,MC-BC-010,SUNDSÖ 순쇠 수납장 - 다크블루 실외용/실내 60x35x86 cm,505.841.89.jpg,블루,MC-LT-008,BRUKSVARA 브룩스바라 보조테이블 - 블루 42x30 cm,105.582.29.jpg,MC-LT-006,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 블루 182 cm,606.085.28.jpg,MC-DF-001,HÄRMHÖK 헤름회크 라벤더주머니 - 화이트/라일락 7 g,906.191.39.jpg,다크블루 야외 수납장을 중심으로 화이트 화분과 아쿠아 소품을 정리해 청량한 생활 발코니로 연출했다.,수납장은 막힌 벽에 붙이고 빨래·식물 관리 동선과 창 앞 여백을 확보했다.,"다크블루, 아쿠아, 화이트, 라이트그레이",맑고 시원한 여름 오전광,출입문에서 길게 보는 와이드 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBA02,summer,blue_breeze,balcony,야외 티타임 발코니,SUBA02.png,SUBA02_tagged_768x512.png,1536x1024,768x512,MC-BC-047,SUNDSÖ 순쇠 테이블 - 다크블루 실외용 65x65 cm,205.825.87.jpg,블루,MC-LT-009,GLADOM 글라돔 트레이테이블 - 라이트블루 45x53 cm,905.340.03.jpg,MC-LT-014,FORSÅ 포르소 독서등 - 황동색,804.035.21.jpg,MC-DF-023,MORKULLA 모르쿨라 유리컵향초2심 - 귤꽃 브라이트옐로우그린 22 시,406.198.39.jpg,다크블루 야외 테이블을 주인공으로 블루 스트라이프 패브릭과 투명 유리를 더해 바람이 느껴지는 여름 공간을 만들었다.,테이블은 난간과 평행하게 두고 의자를 빼도 출입 가능한 폭을 남겼다.,"네이비, 스카이블루, 화이트, 씨글라스",선명한 여름 정오광,난간 쪽에서 테이블을 보는 낮은 사선 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBA03,summer,white_airy,balcony,밝은 일반주택 발코니,SUBA03.png,SUBA03_tagged_768x512.png,1536x1024,768x512,MC-BC-040,FEJAN 페얀 야외테이블 - 화이트 50x44 cm,204.872.17.jpg,화이트,MC-LT-005,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린,706.364.27.jpg,MC-LT-041,TERTIAL 테르티알 독서등 - 라이트블루,005.042.94.jpg,MC-DF-017,LOTSFÅGEL 롯스포겔 미니향초 - 프레쉬리넨 화이트 3.5 시,406.086.90.jpg,화이트 야외 테이블에 민트 러너와 옅은 청색 소품을 배치해 과장 없이 시원한 여름 인상을 냈다.,창 아래에 테이블을 놓고 벽면 화분은 세로로 정리해 바닥 여백을 넓혔다.,"화이트, 민트, 아이스블루, 페일우드",잎 그림자가 섞인 여름 낮빛,바닥 가까이에서 올려보는 뷰파인더 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
SUBA04,summer,sunny_citrus,balcony,선룸형 가족 발코니,SUBA04.png,SUBA04_tagged_768x512.png,1536x1024,768x512,MC-BC-041,FEJAN 페얀 야외테이블 - 옐로 50x44 cm,705.320.00.jpg,화이트,MC-LT-015,OLSERÖD 올세뢰드 보조테이블 - 앤트러싸이트/자작나무 효과 다크옐로 53x50 cm,804.820.52.jpg,MC-LT-024,BLÅSVERK 블로스베르크 탁상스탠드 - 블루 36 cm,205.209.19.jpg,MC-DF-012,DVÄRGHÖK 드베리회크 유리컵향초+뚜껑 - 무화과나뭇잎 블루/라이트옐로 50 시,506.142.85.jpg,옐로 야외 테이블에 시트러스 색 식기와 얇은 화이트 커튼을 더해 밝고 경쾌한 여름 장면을 구성했다.,테이블을 코너에 두고 반대편 창과 출입구 사이 맞통풍 경로를 열었다.,"옐로, 화이트, 라임, 터쿼이즈",밝은 여름 오후 햇빛,창가 코너에서 내려다보는 높은 대각선 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
FABA01,fall,warm_storage,balcony,수납 겸 휴식 발코니,FABA01.png,FABA01_tagged_768x512.png,1536x1024,768x512,MC-BC-007,NÄMMARÖ 넴마뢰 수납박스 및 야외파티션 - 실외용/라이트 스테인 브라운 80x68x140 cm,694.927.45.jpg,우드,MC-LT-002,HOLMERUD 홀메루드 보조테이블 - 참나무무늬 80x31 cm,005.414.23.jpg,MC-LT-009,DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm,204.049.91.jpg,MC-DF-020,LOTSFÅGEL 롯스포겔 미니향초 - 샌달우드/파촐리 브라운 3.5 시,906.087.15.jpg,수납 박스와 프라이버시 파티션에 카멜 쿠션과 러스트 직물을 더해 실용적인 가을 휴식처로 연출했다.,박스를 긴 벽에 붙여 벤치처럼 쓰고 중앙 통로와 수납 덮개 개폐 공간을 남겼다.,"카멜, 러스트, 올리브, 웜그레이",낮은 가을 오후 햇빛,파티션 끝에서 보는 깊이감 있는 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
FABA02,fall,wood_reading,balcony,정원 연결 독서 발코니,FABA02.png,FABA02_tagged_768x512.png,1536x1024,768x512,MC-BC-030,NÄMMARÖ 넴마뢰 야외벤치+등받이 - 라이트 스테인 브라운,505.103.39.jpg,우드,MC-LT-019,UGGLERUM 우글레룸 보조테이블 - 브라운 46x40 cm,206.279.82.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-015,KRONSÅNGARE 크론송아레 유리컵향초2심 - 복숭아향/도트 브라운 50 시,706.202.66.jpg,"원목 야외 벤치에 모스와 오커 쿠션, 니트 블랭킷을 더해 편안한 가을 독서 장면을 만들었다.",벤치는 창과 직각으로 두고 작은 테이블과 조명을 한쪽에 모아 이동 폭을 확보했다.,"내추럴우드, 모스, 오커, 크림",부드러운 가을 아침광,정원 쪽에서 벤치를 보는 낮은 3/4 앵글,일반 주택 규모; 현실적인 발코니 동선; 중심 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·호화 자재 금지,generated_pending_detail_review
