scene_code,season,mood_code,space,space_type,original_image_name,tagged_image_name,original_size,tagged_size,dining_code,dining_name,dining_image_name,dining_color,side_table_code,side_table_name,side_table_image_name,light_code,light_name,light_image_name,scent_code,scent_name,scent_image_name,staging_description,spatial_layout,color_palette,lighting_direction,camera_angle,common_constraints,revision_status
SPDI01,spring,fresh,dining_kitchen,아침식사형 일반 주방,SPDI01.png,SPDI01_tagged_768x512.png,1536x1024,768x512,MC-DT-003,VIHALS 비할스 테이블 - 그린/화이트 125x74 cm,095.785.15.jpg,그린,MC-LT-066,JÄTTESTA 예테스타 커피테이블 - 화이트/라이트 대나무 80x80 cm,105.387.93.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-006,LUGNARE 룽나레 유리컵향초 - 자스민/핑크 12 시,205.714.85.jpg,"세이지그린 식탁과 화이트·대나무 보조테이블, 황동 조명을 조합해 부드러운 봄 아침 공간으로 연출했다.",식탁을 창가와 주방 사이에 두고 주방 진입 통로를 비웠으며 보조테이블은 벽면의 서빙 스테이션으로 사용했다.,"세이지, 화이트, 페일오크, 소프트핑크, 황동",왼쪽 창을 통과한 따뜻한 봄 오전 햇빛,주방과 식탁의 연결을 보여주는 눈높이 3/4 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SPDI02,spring,romantic_fresh,dining_kitchen,창가 가든 다이닝형,SPDI02.png,SPDI02_tagged_768x512.png,1536x1024,768x512,MC-DT-004,VIHALS 비할스 테이블 - 그린/그린 125x74 cm,395.785.14.jpg,그린,MC-LT-013,GRIMSARBO 그림사르보 보조테이블 - 소나무 합판/브라이트레드,306.061.68.jpg,MC-LT-007,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm,106.085.16.jpg,MC-DF-002,FRÖFINK 프뢰핑크 포푸리 방향제 - 핑크색 꽃 핑크 60 g,806.095.84.jpg,"그린 식탁에 레드 테이블과 다크레드 조명, 꽃무늬 방석을 더해 로맨틱하지만 생활 가능한 봄 다이닝을 만들었다.",식탁을 큰 창 가까이에 두고 의자 뒤 통로를 확보했으며 보조테이블과 조명은 핑크 벽면에 모았다.,"그린, 블러시핑크, 크림, 내추럴우드, 레드",꽃나무가 보이는 창의 부드러운 오후 직사광,주방 입구에서 보는 낮은 사선 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SPDI03,spring,clean_fresh,dining_kitchen,소형 원형 식탁형,SPDI03.png,SPDI03_tagged_768x512.png,1536x1024,768x512,MC-DT-033,Mood Code PS 2026 Mood Code 피에스 2026 테이블 - 그린 96 cm,606.179.62.jpg,그린,MC-LT-038,FRÖTORP 프뢰토르프 커피테이블 - 화이트 크롬도금/화이트 유리 88 cm,906.220.90.jpg,MC-LT-026,SPETSBOJ 스펫스보이 탁상스탠드 - 밝기조절/그린 22 cm,005.916.20.jpg,MC-DF-009,LOTSFÅGEL 롯스포겔 유리컵향초 - 무화과나뭇잎 그린 20 시,706.084.34.jpg,"딥그린 원형 식탁과 투명한 화이트 보조테이블, 그린 조명을 사용해 깔끔하고 선명한 봄 공간을 표현했다.",원형 식탁을 베이윈도 중앙에 두고 세 개의 의자로 소형 식사 동선을 만들었으며 보조테이블은 차 스테이션으로 배치했다.,"딥그린, 화이트, 크림, 페일오크, 실버",창으로 들어오는 선명한 봄 햇빛과 잎 그림자,주방 카운터 가장자리에서 보는 낮은 대각선 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SPDI04,spring,organic_fresh,dining_kitchen,오픈 주방 연결형,SPDI04.png,SPDI04_tagged_768x512.png,1536x1024,768x512,MC-DT-005,VIHALS 비할스 테이블 - 화이트/그린 125x74 cm,895.785.16.jpg,화이트,MC-LT-061,TONSTAD 톤스타드 커피테이블 - 오프화이트 84x82 cm,704.915.61.jpg,MC-LT-021,BLÅSVERK 블로스베르크 탁상스탠드 - 베이지 36 cm,305.209.33.jpg,MC-DF-004,FRÖFINK 프뢰핑크 포푸리 방향제 - 복숭아향 오렌지 60 g,006.095.97.jpg,"화이트 상판과 그린 다리 식탁에 위시본 체어, 피치 테이블웨어를 조합해 자연스럽고 차분한 봄 주방으로 연출했다.",식탁 양쪽 통로를 비우고 주방과 창 사이에 배치했으며 오프화이트 보조테이블은 오른쪽 벽면에 독립 배치했다.,"오프화이트, 세이지, 페일우드, 피치, 베이지",정원창에서 들어오는 밝은 봄 낮빛과 얼룩 그림자,주방과 식탁을 함께 보여주는 넓은 측면 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SUDI01,summer,cool_clear,dining_kitchen,발코니 연결 미니멀형,SUDI01.png,SUDI01_tagged_768x512.png,1536x1024,768x512,MC-DT-002,VIHALS 비할스 테이블 - 화이트/화이트 125x74 cm,695.785.17.jpg,화이트,MC-LT-009,GLADOM 글라돔 트레이테이블 - 라이트블루 45x53 cm,905.340.03.jpg,MC-LT-024,BLÅSVERK 블로스베르크 탁상스탠드 - 블루 36 cm,205.209.19.jpg,MC-DF-012,DVÄRGHÖK 드베리회크 유리컵향초+뚜껑 - 무화과나뭇잎 블루/라이트옐로 50 시,506.142.85.jpg,"화이트 식탁에 라이트블루 보조테이블과 블루 조명, 줄무늬 러그를 사용해 일반 아파트의 청량한 여름 다이닝을 만들었다.",식탁을 주방과 발코니 사이에 두고 커튼 방향 통로를 확보했으며 블루 소품은 한쪽에 모아 정돈했다.,"화이트, 파우더블루, 페일애시, 프레시그린",발코니 창의 밝은 여름 낮빛과 얇은 커튼,정면보다 약간 비튼 와이드 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SUDI02,summer,vivid_cool,dining_kitchen,가족형 확장 다이닝,SUDI02.png,SUDI02_tagged_768x512.png,1536x1024,768x512,MC-DT-006,VIHALS 비할스 확장형테이블 - 화이트 120/180x74 cm,105.927.37.jpg,화이트,MC-LT-008,BRUKSVARA 브룩스바라 보조테이블 - 블루 42x30 cm,105.582.29.jpg,MC-LT-006,Mood Code PS 2026 Mood Code 피에스 2026 상향식플로어스탠드 - 블루 182 cm,606.085.28.jpg,MC-DF-023,MORKULLA 모르쿨라 유리컵향초2심 - 귤꽃 브라이트옐로우그린 22 시,406.198.39.jpg,"화이트 확장형 식탁과 코발트블루 조명, 아쿠아 패턴 러그에 레몬 포인트를 더해 선명한 여름 공간을 연출했다.",6인 식탁을 넓은 창과 주방 사이에 두고 사방 통로를 확보했으며 블루 보조테이블은 음료 스테이션으로 사용했다.,"화이트, 코발트블루, 아쿠아, 레몬옐로, 라이트우드",세 개의 창에서 고르게 들어오는 밝은 여름 낮빛,공간 전체를 보여주는 약간 높은 대각선 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SUDI03,summer,natural_cool,dining_kitchen,정원창 원형 다이닝,SUDI03.png,SUDI03_tagged_768x512.png,1536x1024,768x512,MC-DT-010,VIHALS 비할스 테이블 - 화이트/화이트 107 cm,295.899.71.jpg,화이트,MC-LT-005,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린,706.364.27.jpg,MC-LT-014,FORSÅ 포르소 독서등 - 황동색,804.035.21.jpg,MC-DF-001,HÄRMHÖK 헤름회크 라벤더주머니 - 화이트/라일락 7 g,906.191.39.jpg,"화이트 원형 식탁과 페일우드 주방, 옐로그린 서빙테이블을 조합해 녹색 반사광 중심의 자연스러운 시원함을 표현했다.",원형 식탁을 정원창 앞에 두고 주방 작업대와 평행하게 배치했으며 서빙테이블은 우측의 보조 조리대로 사용했다.,"화이트, 페일오크, 민트, 옐로그린, 황동",넓은 정원창의 녹색 반사광과 맑은 확산광,식탁 가장자리에서 정원과 주방을 보는 낮은 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
SUDI04,summer,airy_cool,dining_kitchen,화이트 오픈 라운지형,SUDI04.png,SUDI04_tagged_768x512.png,1536x1024,768x512,MC-DT-015,DOCKSTA 독스타 테이블 - 화이트/화이트 103 cm,793.249.97.jpg,화이트,MC-LT-015,OLSERÖD 올세뢰드 보조테이블 - 앤트러싸이트/자작나무 효과 다크옐로 53x50 cm,804.820.52.jpg,MC-LT-041,TERTIAL 테르티알 독서등 - 라이트블루,005.042.94.jpg,MC-DF-017,LOTSFÅGEL 롯스포겔 미니향초 - 프레쉬리넨 화이트 3.5 시,406.086.90.jpg,"화이트 원형 페데스탈 식탁과 밝은 회색 의자, 라이트블루 조명으로 여백이 큰 여름 다이닝을 구성했다.",식탁을 세로 창 앞에 두고 왼쪽 주방으로 시야와 통로를 열었으며 앤트러싸이트 보조테이블은 벽면에 배치했다.,"화이트, 라이트그레이, 라이트블루, 페일콘크리트",세로 창에서 들어오는 건조하고 밝은 여름 낮빛,러그 가까이의 낮은 비대칭 뷰파인더 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
FADI01,fall,warm_calm,dining_kitchen,따뜻한 가족 식사형,FADI01.png,FADI01_tagged_768x512.png,1536x1024,768x512,MC-DT-013,LISABO 리사보 테이블 - 물푸레무늬목 140x78 cm,803.657.17.jpg,우드,MC-LT-002,HOLMERUD 홀메루드 보조테이블 - 참나무무늬 80x31 cm,005.414.23.jpg,MC-LT-009,DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm,204.049.91.jpg,MC-DF-011,DVÄRGHÖK 드베리회크 유리컵향초+뚜껑 - 귤꽃 레드오렌지/옐로브라운 50 시,606.142.80.jpg,"밝은 애시 식탁과 다크오크 의자, 올리브 러그와 러스트 리넨으로 햇빛과 우드 중심의 가을 공간을 만들었다.",식탁을 창가에 두고 주방 출입로를 비웠으며 참나무 보조테이블은 그릇 수납과 조명 배치용 콘솔로 사용했다.,"라이트애시, 다크오크, 올리브, 러스트, 크림",늦은 오후의 황금빛 가을 직사광,문 사이에서 보는 눈높이 3/4 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
FADI02,fall,intimate_calm,dining_kitchen,게이트레그 소형 주방형,FADI02.png,FADI02_tagged_768x512.png,1536x1024,768x512,MC-DT-016,PINNTORP 핀토르프 게이트레그 테이블 - 라이트 스테인 브라운/화이트스테인 소나무 67/124x75 cm,905.294.69.jpg,우드,MC-LT-019,UGGLERUM 우글레룸 보조테이블 - 브라운 46x40 cm,206.279.82.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-015,KRONSÅNGARE 크론송아레 유리컵향초2심 - 복숭아향/도트 브라운 50 시,706.202.66.jpg,"접이식 우드 식탁과 크림 의자, 딥틸·러스트 러그로 좁지만 활용도 높은 가을 식사 공간을 연출했다.",식탁을 부분 확장해 3인용으로 사용하고 창가 벤치와 주방 사이 동선을 남겼으며 보조테이블은 독서 코너에 배치했다.,"라이트우드, 크림, 딥틸, 러스트, 황동",측면 창의 따뜻한 가을 햇빛과 긴 그림자,창가 벤치 쪽에서 보는 낮은 사선 앵글,일반 주택 규모; 현실적인 주방 동선; 중심 식탁 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·대리석 대형 아일랜드 금지,generated_pending_detail_review
