scene_code,season,mood_code,space,space_type,original_image_name,tagged_image_name,original_size,tagged_size,sofa_code,sofa_name,sofa_image_name,table_code,table_name,table_image_name,light_code,light_name,light_image_name,scent_code,scent_name,scent_image_name,staging_description,spatial_layout,color_palette,lighting_direction,camera_angle,common_constraints,revision_status
SPLV01,spring,fresh,living,창가 독서 라운지형,SPLV01.png,SPLV01_tagged_768x512.png,1536x1024,768x512,MC-SF-091,POÄNG 포엥 암체어 - 브라운/군나레드 라이트그린,995.019.13.jpg,MC-LT-066,JÄTTESTA 예테스타 커피테이블 - 화이트/라이트 대나무,105.387.93.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-006,LUGNARE 룽나레 유리컵향초 - 자스민/핑크,205.714.85.jpg,라이트그린 암체어를 창가에 두고 화이트·대나무 테이블과 황동 조명을 조합해 부드러운 봄 독서 공간을 연출했다.,암체어와 보조테이블을 창가에 나란히 두고 주변을 비워 1인 휴식 동선을 확보했다.,"라이트그린, 크림, 페일우드, 황동, 핑크",왼쪽 창의 따뜻한 오전 햇빛과 가지 그림자,부드러운 눈높이 사선 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SPLV02,spring,fresh,living,로맨틱 가든형,SPLV02.png,SPLV02_tagged_768x512.png,1536x1024,768x512,MC-SF-005,EKTORP 엑토르프 2인용소파 - 하케보 그레이그린,195.090.17.jpg,MC-LT-013,GRIMSARBO 그림사르보 보조테이블 - 소나무 합판/브라이트레드,306.061.68.jpg,MC-LT-007,Mood Code PS 2026 상향식플로어스탠드 - 다크레드,106.085.16.jpg,MC-DF-002,FRÖFINK 프뢰핑크 포푸리 방향제 - 핑크색 꽃,806.095.84.jpg,그레이그린 소파에 꽃무늬·핑크 쿠션과 레드 테이블을 더해 화사하지만 과하지 않은 봄 거실로 연출했다.,"소파를 벽에 붙이고 창가 쪽에 테이블, 반대쪽에 플로어스탠드를 배치해 좌우 균형을 잡았다.","그레이그린, 블러시핑크, 크림, 브라이트레드",얇은 커튼을 통과한 확산광과 창밖 꽃나무,정면보다 살짝 낮은 3/4 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SPLV03,spring,clean_fresh,living,클린 어반형,SPLV03.png,SPLV03_tagged_768x512.png,1536x1024,768x512,MC-SF-003,EKTORP 엑토르프 2인용소파 - 실란다 라이트베이지,295.090.26.jpg,MC-LT-038,FRÖTORP 프뢰토르프 커피테이블 - 화이트 크롬도금/화이트 유리,906.220.90.jpg,MC-LT-026,SPETSBOJ 스펫스보이 탁상스탠드 - 그린,005.916.20.jpg,MC-DF-009,LOTSFÅGEL 롯스포겔 유리컵향초 - 무화과나뭇잎 그린,706.084.34.jpg,라이트베이지 소파와 투명한 화이트 크롬 테이블을 중심으로 그린 소품을 최소한만 넣어 도시적인 봄의 산뜻함을 표현했다.,소파 전면에 원형 커피테이블을 두고 측면 수납장에 조명을 배치해 중앙 통로를 확보했다.,"오프화이트, 실버, 라이트그레이, 애플그린, 딥그린",큰 창에서 들어오는 선명한 도심 낮빛,넓은 정면 사선 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SPLV04,spring,organic_fresh,living,오가닉 갤러리형,SPLV04.png,SPLV04_tagged_768x512.png,1536x1024,768x512,MC-SF-054,SÖDERHAMN 쇠데르함 긴의자 - 요한네스호브 오프화이트,996.217.22.jpg,MC-LT-061,TONSTAD 톤스타드 커피테이블 - 오프화이트,704.915.61.jpg,MC-LT-021,BLÅSVERK 블로스베르크 탁상스탠드 - 베이지,305.209.33.jpg,MC-DF-004,FRÖFINK 프뢰핑크 포푸리 방향제 - 복숭아향 오렌지,006.095.97.jpg,"오프화이트 긴의자와 베이지 석재 질감 벽, 피치·세이지 쿠션으로 조용하고 자연스러운 봄 라운지를 만들었다.",긴의자를 대각선으로 두고 낮은 테이블을 전면 우측에 배치해 넓은 여백과 눕는 동선을 살렸다.,"오프화이트, 샌드베이지, 세이지, 피치",큰 창의 강한 봄 햇빛과 식물 그림자,낮은 대각선 갤러리 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SULV01,summer,cool_clear,living,일반 아파트 미니멀형,SULV01.png,SULV01_tagged_768x512.png,1536x1024,768x512,MC-SF-024,SALTMYRAN 살트뮈란 3인용소파 - 외레뤼드 블루,106.185.20.jpg,MC-LT-009,GLADOM 글라돔 트레이테이블 - 라이트블루,905.340.03.jpg,MC-LT-024,BLÅSVERK 블로스베르크 탁상스탠드 - 블루,205.209.19.jpg,MC-DF-012,DVÄRGHÖK 드베리회크 유리컵향초 - 무화과나뭇잎 블루,506.142.85.jpg,블루 소파에 라이트블루 테이블과 파란 조명을 조합하고 흰 커튼·줄무늬 러그로 청량한 여름 거실을 연출했다.,소파는 벽면에 붙이고 테이블과 조명을 한쪽에 모아 발코니 통로와 넓은 바닥 면을 확보했다.,"파우더블루, 화이트, 페일오크, 코발트",발코니의 맑은 여름 낮빛과 얇은 커튼,정면 와이드 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SULV02,summer,vivid_cool,living,그래픽 컬러 라운지형,SULV02.png,SULV02_tagged_768x512.png,1536x1024,768x512,MC-SF-059,STOCKHOLM 2025 스톡홀름 2025 2인용소파 - 알함 다크터쿼이즈,705.861.11.jpg,MC-LT-008,BRUKSVARA 브룩스바라 보조테이블 - 블루,105.582.29.jpg,MC-LT-006,Mood Code PS 2026 상향식플로어스탠드 - 블루,606.085.28.jpg,MC-DF-023,MORKULLA 모르쿨라 유리컵향초 - 귤꽃 브라이트옐로우그린,406.198.39.jpg,"다크터쿼이즈 소파와 블루 조명, 물빛 패턴 러그를 사용해 선명하고 그래픽적인 청량감을 강조했다.",소파 중심의 넓은 벽면을 비우고 양옆 소품을 작게 배치해 컬러 소파가 주인공이 되도록 했다.,"터쿼이즈, 코발트블루, 아이스블루, 화이트, 옐로그린",세 개의 작은 창과 오른쪽 큰 창에서 들어오는 균일한 낮빛,대칭에 가까운 정면 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SULV03,summer,natural_cool,living,정원창 가족형,SULV03.png,SULV03_tagged_768x512.png,1536x1024,768x512,MC-SF-030,SÖDERHAMN 쇠데르함 3인용소파 - 프리드투나 다크그레이블루,996.216.37.jpg,MC-LT-005,BJÖRKÅSEN 비에르코센 노트북스탠드 - 옐로그린,706.364.27.jpg,MC-LT-014,FORSÅ 포르소 독서등 - 황동색,804.035.21.jpg,MC-DF-001,HÄRMHÖK 헤름회크 라벤더주머니 - 화이트/라일락,906.191.39.jpg,그레이블루 소파 앞에 옐로그린 테이블과 황동 조명을 두고 넓은 정원창과 물빛 러그로 자연스러운 시원함을 만들었다.,소파를 긴 창과 평행하게 두고 전면 러그를 넓게 비워 실제 거실의 이동성과 개방감을 확보했다.,"그레이블루, 민트, 옐로그린, 황동, 페일우드",넓은 정원창의 녹색 반사광과 밝은 확산광,낮은 3/4 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
SULV04,summer,airy_cool,living,오픈 라운지·다이닝 연결형,SULV04.png,SULV04_tagged_768x512.png,1536x1024,768x512,MC-SF-086,POÄNG 포엥 암체어 - 자작나무무늬목/셸링에 그레이블루,196.252.67.jpg,MC-LT-015,OLSERÖD 올세뢰드 보조테이블 - 앤트러싸이트/다크옐로,804.820.52.jpg,MC-LT-041,TERTIAL 테르티알 독서등 - 라이트블루,005.042.94.jpg,MC-DF-017,LOTSFÅGEL 롯스포겔 미니향초 - 프레쉬리넨 화이트,406.086.90.jpg,그레이블루 암체어와 라이트블루 조명을 넓은 화이트 공간에 두고 창 아래 긴 벤치와 다이닝 연결로 여름의 여백을 강조했다.,암체어는 거실 중앙에서 살짝 벗어나 배치하고 보조테이블을 가까이 두어 1인 휴식과 뒤쪽 다이닝 동선을 분리했다.,"그레이블루, 화이트, 라이트그레이, 블랙 포인트",여러 창에서 들어오는 밝고 건조한 여름 낮빛,공간 깊이를 보여주는 넓은 사선 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
FALV01,fall,warm_calm,living,창가 데이라운지형,FALV01.png,FALV01_tagged_768x512.png,1536x1024,768x512,MC-SF-053,SÖDERHAMN 쇠데르함 긴의자 - 셸링에 다크옐로,496.217.05.jpg,MC-LT-002,HOLMERUD 홀메루드 보조테이블 - 참나무무늬,005.414.23.jpg,MC-LT-009,DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리,204.049.91.jpg,MC-DF-011,DVÄRGHÖK 드베리회크 유리컵향초 - 귤꽃 레드오렌지,606.142.80.jpg,머스터드 긴의자에 올리브·러스트 쿠션과 크림 블랭킷을 더해 햇빛과 직물 중심의 가을 공간을 연출했다.,긴의자를 창과 사선으로 두고 수납형 보조테이블을 오른쪽에 배치해 눕는 공간과 통로를 분리했다.,"머스터드, 올리브, 러스트, 크림, 오크",창가의 황금빛 늦은 오후 햇빛,문 사이로 보는 3/4 뷰파인더 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
FALV02,fall,reading_calm,living,독서 코너형,FALV02.png,FALV02_tagged_768x512.png,1536x1024,768x512,MC-SF-079,STRANDMON 스트란드몬 윙체어 - 톰마보다 레드브라운,306.131.78.jpg,MC-LT-019,UGGLERUM 우글레룸 보조테이블 - 브라운,206.279.82.jpg,MC-LT-017,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,803.213.23.jpg,MC-DF-015,KRONSÅNGARE 크론송아레 유리컵향초 - 복숭아향 브라운,706.202.66.jpg,"레드브라운 윙체어와 황동 조명, 청록 패턴 러그를 조합해 깊이 있지만 밝은 가을 독서 코너를 만들었다.",윙체어를 창가에 두고 책장과 보조테이블을 가까이 배치하며 뒤쪽 거실과 연결되는 시야를 열었다.,"레드브라운, 황동, 오트밀, 딥틸",측면 창의 긴 가을 그림자와 따뜻한 직사광,책장 가장자리를 포함한 낮은 사선 앵글,일반 주택 규모; 현실적인 동선; 주요 상품 형태와 색상 유지; 낮 장면; 호텔·펜트하우스·과도한 장식 금지,approved_base_pending_detail_review
